ENGLISH,OCCURENCES,ENGLISH_stem
chop,52,chop
reload,111,reload
spun,379,spun
fuel,1464,fuel
hardly,472,hardli
conscious,149,consciou
rifleman,50,rifleman
gospel,1026,gospel
stood,477,stood
posed,168,pose
terminal,415,termin
session,1384,session
unrealistic,38,unrealist
mercenary,66,mercenari
glass,1069,glass
antique,139,antiqu
pursuant,41,pursuant
enlighten,41,enlighten
zero,1540,zero
baptism,122,baptism
replication,48,replic
ster,122,ster
remake,97,remak
spend,442,spend
amused,34,amus
theoretically,75,theoret
rubin,221,rubin
racism,606,racism
override,1641,overrid
paolo,144,paolo
await,61,await
excerpt,85,excerpt
tired,298,tire
angry,500,angri
devoted,195,devot
drunk,136,drunk
nazis,158,nazi
owes,29,owe
destroy,504,destroy
enriched,49,enrich
boundaries,312,boundari
manic,26,manic
np,54,np
jason,2195,jason
coolest,64,coolest
pity,87,piti
rethink,38,rethink
factor,692,factor
forty,561,forti
kitten,71,kitten
xxx,224,xxx
board,4580,board
kimchi,193,kimchi
bulletin,258,bulletin
reset,119,reset
fifteen,515,fifteen
alf,4515,alf
aeon,107,aeon
pardon,104,pardon
electro,79,electro
altogether,314,altogeth
charter,531,charter
leadership,814,leadership
blame,592,blame
dispatched,168,dispatch
aid,1184,aid
caesar,472,caesar
nazism,193,nazism
unbalanced,70,unbalanc
cicero,33,cicero
pizza,409,pizza
corp,235,corp
sup,376,sup
maintenance,992,mainten
advocacy,96,advocaci
certainty,71,certainti
orion,163,orion
reproduction,586,reproduct
advert,76,advert
tk,291,tk
scheme,1031,scheme
inspiration,167,inspir
counterparts,110,counterpart
obligatory,47,obligatori
neglected,97,neglect
dislike,139,dislik
favorite,1281,favorit
oath,135,oath
span,561,span
solid,1158,solid
padding,109,pad
exposition,164,exposit
grid,861,grid
amos,560,amo
purple,522,purpl
cliff,299,cliff
genius,172,geniu
judging,168,judg
adverse,90,advers
mccarthyism,72,mccarthyism
suppress,91,suppress
cavalier,87,cavali
pertinent,142,pertin
climbing,179,climb
gags,28,gag
joey,518,joey
couch,96,couch
blair,605,blair
resign,197,resign
inevitably,63,inevit
conservative,817,conserv
lib,479,lib
dem,171,dem
ming,309,ming
labour,567,labour
towel,85,towel
coffee,449,coffe
lounge,78,loung
laughed,40,laugh
offence,232,offenc
mood,195,mood
hottest,83,hottest
ward,1169,ward
influential,235,influenti
cult,289,cult
hardcore,343,hardcor
experimentation,124,experiment
hid,56,hid
sophisticated,87,sophist
rot,53,rot
sensor,80,sensor
array,199,array
um,347,um
pressure,2307,pressur
thirteen,492,thirteen
login,537,login
firewall,124,firewal
cleveland,2117,cleveland
jam,778,jam
ma,859,ma
messenger,250,messeng
pm,1343,pm
batteries,276,batteri
peanuts,76,peanut
choking,43,choke
alcohol,596,alcohol
eaten,39,eaten
grue,58,grue
pudding,109,pud
lawsuit,180,lawsuit
wisconsin,1996,wisconsin
stolen,462,stolen
errant,61,errant
shopping,372,shop
rejoice,39,rejoic
sausage,139,sausag
milwaukee,795,milwauke
midwest,180,midwest
staple,61,stapl
guarantee,193,guarante
yank,104,yank
sox,2325,sox
liberal,883,liber
unprotect,43,unprotect
vacation,123,vacat
pretending,80,pretend
archangel,42,archangel
lax,61,lax
borrowed,2128,borrow
ff,383,ff
gifted,40,gift
tho,63,tho
flared,42,flare
discredit,82,discredit
arabs,609,arab
backward,95,backward
israel,4452,israel
palestine,945,palestin
allegations,869,alleg
rant,245,rant
pertaining,318,pertain
cache,330,cach
7th,2244,7th
karate,134,karat
chun,68,chun
regret,135,regret
spotlight,58,spotlight
twelve,1240,twelv
tempting,37,tempt
trio,181,trio
stock,779,stock
waterman,32,waterman
airplay,105,airplay
formidable,61,formid
nashville,573,nashvil
adaptation,176,adapt
drowning,90,drown
vincent,712,vincent
creative,1440,creativ
crown,3133,crown
lay,500,lay
harp,93,harp
robe,41,robe
saviour,40,saviour
secular,93,secular
spiritual,180,spiritu
proclaimed,161,proclaim
tempo,114,tempo
underlying,133,underli
transformed,166,transform
upbeat,27,upbeat
horn,305,horn
rhythm,231,rhythm
brian,2630,brian
lifetime,161,lifetim
foxy,34,foxi
prestige,113,prestig
neal,458,neal
keyboards,1250,keyboard
sellout,42,sellout
marilyn,412,marilyn
burgess,116,burgess
neon,313,neon
alfred,567,alfr
warming,657,warm
environmentalism,31,environment
horner,45,horner
attorney,400,attorney
samuel,1263,samuel
seventeenth,522,seventeenth
abc,821,abc
anatomy,495,anatomi
bailey,375,bailey
baby,1443,babi
addison,95,addison
anxiety,128,anxieti
hospital,1161,hospit
labor,1047,labor
chief,2001,chief
webber,260,webber
survives,53,surviv
patient,194,patient
bomb,2057,bomb
thereafter,481,thereaft
knocked,520,knock
unconscious,124,unconsci
shower,124,shower
wash,93,wash
sleeping,195,sleep
directors,290,director
booth,284,booth
auditorium,134,auditorium
wall,1862,wall
balcony,39,balconi
ireland,4883,ireland
ultima,31,ultima
chameleon,49,chameleon
gel,93,gel
electrophoresis,38,electrophoresi
papa,127,papa
mathematician,145,mathematician
axioms,39,axiom
diagonal,51,diagon
decomposition,47,decomposit
subsets,64,subset
bn,185,bn
intersection,245,intersect
vulture,42,vultur
geared,33,gear
slant,70,slant
wooden,205,wooden
ears,174,ear
ac,1425,ac
dc,1030,dc
bernard,449,bernard
implicitly,45,implicitli
ship,1085,ship
dance,1698,danc
dancers,104,dancer
char,38,char
verification,264,verif
reagent,55,reagent
purity,46,puriti
cm,607,cm
simplest,51,simplest
reactive,27,reactiv
trade,2228,trade
lewis,1939,lewi
displacement,80,displac
songwriter,145,songwrit
sixteenth,160,sixteenth
highlights,286,highlight
benzene,74,benzen
rearrangement,38,rearrang
converts,225,convert
efficiency,190,effici
ew,108,ew
cartoon,382,cartoon
warner,542,warner
bros,591,bro
talents,68,talent
bergman,51,bergman
hunt,749,hunt
theatrical,188,theatric
anniversary,745,anniversari
premiere,149,premier
unseen,37,unseen
garnered,95,garner
looney,57,looney
tunes,98,tune
volume,655,volum
backstage,32,backstag
yosemite,52,yosemit
elmer,164,elmer
stuffed,65,stuf
curse,247,curs
gun,2594,gun
spade,128,spade
cloak,32,cloak
ideally,105,ideal
dashes,33,dash
routinely,72,routin
fennec,52,fennec
horse,1303,hors
elvis,309,elvi
storage,429,storag
fat,1010,fat
pakistani,507,pakistani
flu,164,flu
floppy,78,floppi
unavailable,150,unavail
piracy,490,piraci
viruses,36,virus
cute,165,cute
gimmick,28,gimmick
gaius,100,gaiu
julius,521,juliu
offspring,53,offspr
splinter,47,splinter
dome,561,dome
lit,197,lit
fluorescent,94,fluoresc
drums,227,drum
narrator,79,narrat
hole,749,hole
guitar,1490,guitar
driven,524,driven
segments,147,segment
chorus,134,choru
louder,32,louder
subdued,40,subdu
nelson,1044,nelson
crush,173,crush
tanner,146,tanner
rain,2209,rain
duo,307,duo
topper,73,topper
trip,600,trip
vegas,699,vega
spawn,65,spawn
filter,500,filter
grosse,27,gross
reprise,29,repris
bishop,657,bishop
remix,181,remix
saber,91,saber
immortal,76,immort
epic,351,epic
arginine,32,arginin
cyclo,68,cyclo
cavendish,47,cavendish
cap,505,cap
beret,54,beret
cadet,121,cadet
emergency,1098,emerg
aerospace,228,aerospac
quarters,508,quarter
tactics,492,tactic
aircraft,4051,aircraft
sergeant,266,sergeant
urban,1091,urban
conspicuous,38,conspicu
gallantry,71,gallantri
glucose,106,glucos
isopropyl,139,isopropyl
dimethyl,36,dimethyl
chipmunks,58,chipmunk
health,1540,health
merovingian,60,merovingian
cherry,379,cherri
blossom,44,blossom
fritz,165,fritz
pilate,30,pilat
tex,176,tex
shell,588,shell
cardinal,500,cardin
scarborough,91,scarborough
guelph,100,guelph
ba,234,ba
philosophy,705,philosophi
continental,913,continent
aesthetics,40,aesthet
entirety,187,entireti
continent,338,contin
avid,42,avid
scarcely,38,scarc
focused,412,focus
durian,52,durian
fruit,446,fruit
cotton,653,cotton
linden,81,linden
revered,31,rever
southeast,1371,southeast
thorn,60,thorn
centimetres,45,centimetr
kilograms,36,kilogram
lbs,174,lb
flesh,127,flesh
species,491,speci
sharp,344,sharp
edible,27,edibl
ripe,82,ripe
intact,210,intact
consumed,223,consum
sweet,444,sweet
seeds,404,seed
cooked,40,cook
fetch,40,fetch
jurassic,148,jurass
bv,30,bv
cfd,55,cfd
mfd,46,mfd
width,487,width
telephone,962,telephon
tel,248,tel
fax,107,fax
suffix,154,suffix
ca,1511,ca
superintendent,171,superintend
principal,366,princip
russ,482,russ
enrollment,33,enrol
augustine,113,augustin
seminary,92,seminari
prolific,62,prolif
acre,65,acr
vista,451,vista
lake,2474,lake
staffed,37,staf
administer,27,administ
pilot,1406,pilot
counseling,27,counsel
electronic,967,electron
curriculum,55,curriculum
innovation,109,innov
ministry,756,ministri
province,1554,provinc
vital,283,vital
interpersonal,34,interperson
growth,541,growth
rugby,2676,rugbi
cater,33,cater
showcase,82,showcas
annual,1644,annual
encompassed,31,encompass
broadway,344,broadway
theatre,1135,theatr
knight,989,knight
liaison,72,liaison
unity,322,uniti
midst,121,midst
racial,425,racial
scar,1575,scar
strive,105,strive
increasingly,368,increasingli
lcd,34,lcd
pulp,102,pulp
jersey,4139,jersey
genre,603,genr
glitch,51,glitch
damon,449,damon
bass,814,bass
lineup,403,lineup
discography,735,discographi
fm,1347,fm
cg,128,cg
pour,260,pour
finest,101,finest
undone,1733,undon
mouth,448,mouth
lose,1519,lose
loss,4064,loss
grace,1073,grace
belgian,528,belgian
brazil,2185,brazil
prevalence,28,preval
fundamentals,45,fundament
fanatics,26,fanat
hide,480,hide
opponents,753,oppon
alt,127,alt
misc,443,misc
hl,112,hl
tribes,303,tribe
nl,1548,nl
icon,249,icon
het,78,het
ter,297,ter
subscription,68,subscript
cheung,60,cheung
tapping,51,tap
enthusiasm,157,enthusiasm
infrequently,39,infrequ
disbanded,921,disband
endeavor,74,endeavor
ludicrous,52,ludicr
ensued,147,ensu
futile,96,futil
massage,68,massag
circuit,1773,circuit
cambridge,389,cambridg
acetate,121,acet
sulfur,232,sulfur
synthetase,57,synthetas
sh,169,sh
hs,154,hs
compatible,195,compat
nixie,80,nixi
cyanide,90,cyanid
miracles,57,miracl
holland,553,holland
mickey,634,mickey
gotta,116,gotta
crying,117,cri
smokey,65,smokey
robinson,1040,robinson
launched,1045,launch
food,2634,food
literature,2819,literatur
blockbuster,93,blockbust
lesser,476,lesser
novels,900,novel
facet,26,facet
satirical,54,satir
penned,35,pen
pseudonym,61,pseudonym
pullman,122,pullman
thrust,140,thrust
scholarship,288,scholarship
inaugural,551,inaugur
transit,507,transit
interactive,219,interact
forge,166,forg
editorial,383,editori
cost,1221,cost
readership,41,readership
blitz,118,blitz
wherein,71,wherein
frenzy,61,frenzi
corner,1054,corner
gas,1304,ga
cure,90,cure
thirteenth,623,thirteenth
cytochrome,30,cytochrom
methionine,90,methionin
omega,204,omega
lysine,27,lysin
brasil,121,brasil
polly,223,polli
parrot,311,parrot
grew,410,grew
alabama,1967,alabama
skate,197,skate
rave,127,rave
sought,375,sought
trance,211,tranc
sirius,125,siriu
contract,1121,contract
jockey,104,jockey
pig,504,pig
potatoes,92,potato
nat,459,nat
swans,56,swan
arose,178,aros
doodle,37,doodl
tenor,51,tenor
dade,63,dade
nervous,314,nervou
miami,2571,miami
piano,366,piano
audible,29,audibl
drummer,186,drummer
fed,329,fed
craze,40,craze
dish,77,dish
rag,64,rag
fear,831,fear
reaper,178,reaper
dynamite,205,dynamit
sixth,2431,sixth
kay,219,kay
italian,1962,italian
outdoor,222,outdoor
barracks,365,barrack
soho,31,soho
plants,263,plant
agents,493,agent
buck,797,buck
riff,48,riff
mojo,46,mojo
greatest,1524,greatest
rolling,546,roll
grim,178,grim
personification,50,personif
folklore,123,folklor
romeo,544,romeo
juliet,344,juliet
suicide,869,suicid
pact,176,pact
omits,28,omit
solo,779,solo
demo,189,demo
saturday,1754,saturday
sketch,134,sketch
famed,120,fame
bruce,1036,bruce
maiden,315,maiden
catalogue,117,catalogu
gene,656,gene
reality,805,realiti
embraced,47,embrac
reckoning,43,reckon
plea,86,plea
hometown,121,hometown
maryland,1463,maryland
thrash,84,thrash
berry,346,berri
theater,841,theater
dorado,60,dorado
paris,2253,pari
funk,199,funk
tempest,67,tempest
revelation,137,revel
niggers,31,nigger
jews,1264,jew
scream,255,scream
percussion,84,percuss
everywhere,288,everywher
collector,159,collector
blew,283,blew
pun,96,pun
reak,187,reak
bk,80,bk
bird,840,bird
candy,420,candi
goo,106,goo
pear,101,pear
infernal,26,infern
majesty,106,majesti
cave,299,cave
sequence,680,sequenc
preface,30,prefac
skit,32,skit
bottle,200,bottl
tenuous,29,tenuou
chord,54,chord
furry,115,furri
ruby,281,rubi
hydroxy,286,hydroxi
pp,355,pp
pathway,67,pathway
reductase,200,reductas
metabolite,28,metabolit
bacteria,152,bacteria
tuberculosis,165,tuberculosi
malaria,117,malaria
peripheral,102,peripher
nm,322,nm
hydrocarbon,82,hydrocarbon
shining,120,shine
stable,346,stabl
aromatic,64,aromat
drawn,1233,drawn
endocrine,68,endocrin
franklin,1036,franklin
lodge,124,lodg
tuesday,923,tuesday
waking,36,wake
robin,1093,robin
thieves,69,thiev
sixteen,477,sixteen
atop,116,atop
rpm,92,rpm
grammy,242,grammi
academy,2952,academi
maid,90,maid
marian,146,marian
creek,1012,creek
oddly,82,oddli
buried,265,buri
unprecedented,209,unpreced
reluctant,105,reluct
marriage,773,marriag
twain,229,twain
thirty,806,thirti
whitman,275,whitman
misconception,53,misconcept
switzerland,1422,switzerland
finland,1132,finland
norway,1512,norway
sweden,1986,sweden
denmark,1418,denmark
brandy,69,brandi
oceania,268,oceania
kappa,429,kappa
splash,218,splash
oscar,542,oscar
entertainment,1211,entertain
fairy,230,fairi
heaven,445,heaven
reconstruction,286,reconstruct
warped,95,warp
wheel,1445,wheel
hershey,159,hershey
reese,115,rees
khan,1185,khan
chi,943,chi
mc,395,mc
hammer,803,hammer
panther,332,panther
fork,151,fork
retailers,55,retail
devil,849,devil
adenosine,48,adenosin
radical,371,radic
ava,56,ava
cavalry,2631,cavalri
tribune,172,tribun
vi,571,vi
father,1150,father
consul,38,consul
rome,1143,rome
married,328,marri
spice,273,spice
gd,125,gd
mayo,231,mayo
gilbert,394,gilbert
murray,984,murray
ram,365,ram
cowboy,180,cowboy
legend,1161,legend
borderline,99,borderlin
cash,709,cash
frederik,39,frederik
compressed,82,compress
scared,113,scare
riding,485,ride
gentleman,72,gentleman
doomed,66,doom
chase,858,chase
cattle,457,cattl
herd,81,herd
terrorist,1149,terrorist
connotations,45,connot
ira,354,ira
helicopters,327,helicopt
weasel,325,weasel
hercules,273,hercul
patches,63,patch
lone,303,lone
germs,30,germ
slash,118,slash
sr,829,sr
italy,3511,itali
joan,494,joan
longtime,105,longtim
heroine,33,heroin
darby,61,darbi
raiders,917,raider
expensive,285,expens
afford,121,afford
thin,288,thin
pistols,149,pistol
retrospect,35,retrospect
cleaner,94,cleaner
polished,32,polish
allegedly,372,allegedli
audiences,110,audienc
intoxicated,31,intox
posthumous,28,posthum
cassette,117,cassett
undergo,89,undergo
cruising,52,cruis
parcel,37,parcel
mia,160,mia
anthology,134,antholog
glutamate,60,glutam
ammonia,87,ammonia
triphosphate,28,triphosph
gangs,236,gang
silver,1641,silver
unreleased,92,unreleas
calvary,27,calvari
lengthy,244,lengthi
jolly,53,jolli
captain,3051,captain
hed,47,hed
pe,119,pe
kuan,47,kuan
phoenix,1330,phoenix
boat,601,boat
overdose,63,overdos
jamboree,211,jambore
drank,28,drank
slab,26,slab
bon,168,bon
junk,1630,junk
seat,585,seat
mama,146,mama
cass,56,cass
enraged,34,enrag
reportedly,407,reportedli
chili,285,chili
peppers,178,pepper
fist,115,fist
pills,33,pill
infamous,228,infam
depicting,152,depict
whore,76,whore
norwegian,360,norwegian
sympathy,131,sympathi
hans,485,han
hank,437,hank
sulfate,114,sulfat
paved,56,pave
certified,264,certifi
fender,103,fender
glen,698,glen
campbell,989,campbel
calypso,49,calypso
denver,1167,denver
convoy,195,convoy
steady,219,steadi
negotiations,435,negoti
shifted,285,shift
shameless,32,shameless
taste,409,tast
everybody,529,everybodi
indiana,2363,indiana
novelty,92,novelti
victorian,488,victorian
catalog,158,catalog
flip,220,flip
jealous,50,jealou
elusive,30,elus
boyfriend,93,boyfriend
reggae,131,regga
millionaire,71,millionair
modest,152,modest
divine,211,divin
feces,319,fece
poodle,89,poodl
utterly,145,utterli
eating,365,eat
disdain,105,disdain
monomer,28,monom
polymer,104,polym
swell,29,swell
flexible,118,flexibl
lenses,55,lens
conspiracy,1240,conspiraci
pmk,1219,pmk
seeker,200,seeker
abba,107,abba
benny,259,benni
orchestra,197,orchestra
dig,186,dig
helen,583,helen
holm,29,holm
miller,1326,miller
satisfaction,119,satisfact
mick,312,mick
jagger,59,jagger
congress,4403,congress
registry,61,registri
smash,427,smash
sexually,727,sexual
britain,2388,britain
intercourse,117,intercours
perceived,293,perceiv
quo,126,quo
gloria,955,gloria
vanilla,105,vanilla
spears,501,spear
tape,512,tape
tar,214,tar
hotel,1240,hotel
clearwater,53,clearwat
rampant,69,rampant
bowie,250,bowi
charity,220,chariti
chuck,957,chuck
hollywood,494,hollywood
gibson,963,gibson
maestro,32,maestro
sustain,104,sustain
envisioned,38,envis
dave,3573,dave
boosted,62,boost
mono,73,mono
bootleg,56,bootleg
promo,102,promo
sugar,765,sugar
pie,547,pie
honey,191,honey
herman,254,herman
joel,442,joel
volt,61,volt
spider,973,spider
sonny,179,sonni
cher,72,cher
babe,380,babe
toppled,36,toppl
walker,1051,walker
acclaimed,101,acclaim
shook,90,shook
runner,1088,runner
jointly,93,jointli
panel,493,panel
newsweek,27,newsweek
monster,920,monster
medley,71,medley
cynical,74,cynic
smoke,436,smoke
cigarettes,40,cigarett
tensions,263,tension
programmers,27,programm
streak,1131,streak
suddenly,422,suddenli
fade,56,fade
halftime,903,halftim
rooster,107,rooster
cloud,721,cloud
tears,292,tear
breakdown,176,breakdown
mother,1306,mother
lady,826,ladi
dandelion,44,dandelion
flash,578,flash
wild,1494,wild
tumbling,27,tumbl
dice,117,dice
doo,192,doo
heartbreaker,26,heartbreak
beg,151,beg
beast,360,beast
burden,155,burden
shattered,140,shatter
cold,1805,cold
undercover,70,undercov
harlem,291,harlem
shuffle,72,shuffl
sigh,79,sigh
justice,1077,justic
bobby,1604,bobbi
gump,110,gump
jazz,1004,jazz
beatles,436,beatl
metaphor,139,metaphor
orgasm,105,orgasm
hook,297,hook
adult,433,adult
cole,611,cole
kerry,677,kerri
temptations,43,temptat
norman,574,norman
softer,108,softer
dramatic,463,dramat
devised,78,devis
blasts,203,blast
backdrop,49,backdrop
trademark,287,trademark
gradually,471,gradual
choreography,72,choreographi
ecology,131,ecolog
dallas,1699,dalla
oak,436,oak
lawn,224,lawn
uptown,54,uptown
nightclub,66,nightclub
farina,64,farina
willie,721,willi
hill,3229,hill
vanguard,94,vanguard
haggard,48,haggard
harold,452,harold
drake,565,drake
junior,2140,junior
tommy,1018,tommi
jerry,1350,jerri
reed,552,reed
robbins,66,robbin
buddy,335,buddi
wade,737,wade
watson,891,watson
garden,807,garden
lynn,350,lynn
anderson,1663,anderson
female,1035,femal
shaw,535,shaw
whale,643,whale
keen,208,keen
diamond,617,diamond
clive,123,clive
reservations,93,reserv
earned,1793,earn
recover,251,recov
vietnam,2128,vietnam
comeback,580,comeback
kon,31,kon
kan,75,kan
dolly,211,dolli
parton,59,parton
ole,259,ole
embarked,151,embark
wilson,2111,wilson
beach,1936,beach
testify,58,testifi
detroit,2992,detroit
parliaments,27,parliament
leader,1925,leader
stroke,346,stroke
spin,445,spin
underwear,33,underwear
til,133,til
parker,872,parker
lanes,115,lane
outfit,116,outfit
nomad,34,nomad
sharon,238,sharon
dee,122,dee
clarke,589,clark
territories,504,territori
stateside,45,statesid
dressed,302,dress
lighthouse,135,lighthous
bacon,1443,bacon
portugal,1355,portug
netherlands,1782,netherland
herself,283,herself
mg,575,mg
boulder,366,boulder
embarrassing,95,embarrass
fa,1390,fa
shortcomings,48,shortcom
sociological,35,sociolog
grease,74,greas
woke,37,woke
apocalypse,133,apocalyps
weller,169,weller
harvey,640,harvey
redone,35,redon
trim,143,trim
fiat,150,fiat
footnote,345,footnot
chronology,168,chronolog
stiff,86,stiff
goodman,121,goodman
larry,1395,larri
seller,72,seller
victor,597,victor
capitol,255,capitol
rosemary,93,rosemari
sandra,199,sandra
doc,1188,doc
perry,648,perri
ford,2770,ford
stranded,140,strand
clash,318,clash
fatal,222,fatal
flat,585,flat
stanley,2180,stanley
lipstick,26,lipstick
collar,148,collar
demolition,104,demolit
mountain,2548,mountain
breakthrough,155,breakthrough
valentine,341,valentin
departure,349,departur
rip,121,rip
rarities,33,rariti
blonde,73,blond
hart,447,hart
feet,1301,feet
wayne,1656,wayn
louie,65,louie
vii,599,vii
ticket,564,ticket
chocolate,531,chocol
grandpa,53,grandpa
warren,699,warren
wives,92,wive
kenny,710,kenni
garrison,454,garrison
vivian,50,vivian
herbert,508,herbert
expansion,1261,expans
maxwell,374,maxwel
homer,1090,homer
luther,513,luther
affair,580,affair
mistress,44,mistress
cheating,116,cheat
sledge,29,sledg
bland,58,bland
cassandra,72,cassandra
faithless,844,faithless
sequel,182,sequel
apple,986,appl
naked,342,nake
twister,50,twister
amen,26,amen
patty,113,patti
il,775,il
baker,703,baker
unison,28,unison
bliss,146,bliss
vancouver,1389,vancouv
nielsen,170,nielsen
mccoy,355,mccoy
platinum,278,platinum
bowed,32,bow
fixture,151,fixtur
claire,137,clair
imperial,752,imperi
solitude,195,solitud
duke,1616,duke
dolphin,299,dolphin
hitters,190,hitter
repeal,48,repeal
amarillo,30,amarillo
certification,110,certif
consortium,120,consortium
headquartered,221,headquart
palm,323,palm
credentials,88,credenti
iso,250,iso
accreditation,33,accredit
brumbies,33,brumbi
pg,131,pg
mindless,87,mindless
indulgence,56,indulg
virgin,421,virgin
stalled,255,stall
autumn,296,autumn
male,914,male
sin,318,sin
chester,327,chester
eddy,141,eddi
flock,44,flock
seagulls,37,seagul
panic,358,panic
grabs,57,grab
headphones,44,headphon
professor,539,professor
scottie,80,scotti
shack,40,shack
soldiers,2823,soldier
laser,479,laser
door,877,door
framed,48,frame
cinema,360,cinema
farm,721,farm
exotic,52,exot
hired,398,hire
spaceship,36,spaceship
props,34,prop
argon,84,argon
beams,30,beam
receptor,241,receptor
signpost,275,signpost
arris,52,arri
ctrl,72,ctrl
safari,103,safari
havana,152,havana
partner,339,partner
alba,176,alba
butcher,121,butcher
cuban,676,cuban
jail,248,jail
coral,413,coral
lux,43,lux
toa,40,toa
goody,93,goodi
fantasy,1193,fantasi
ono,66,ono
summit,871,summit
propelled,196,propel
feat,244,feat
absence,452,absenc
tongue,142,tongu
cheek,50,cheek
bell,2206,bell
unfinished,63,unfinish
rehearsal,26,rehears
bermuda,625,bermuda
priority,206,prioriti
jo,488,jo
philip,1626,philip
bouncing,48,bounc
redevelopment,59,redevelop
docklands,34,dockland
apex,56,apex
avenue,1705,avenu
landscape,120,landscap
demolished,181,demolish
railway,1413,railway
irish,2155,irish
goats,44,goat
razor,412,razor
portray,121,portray
delicious,166,delici
wolves,235,wolv
bing,57,bing
trumpet,182,trumpet
contextual,149,contextu
dungeon,134,dungeon
skye,31,skye
armstrong,1154,armstrong
teddy,203,teddi
crow,270,crow
fifteenth,254,fifteenth
tender,181,tender
trap,195,trap
sammy,240,sammi
sinatra,107,sinatra
thicker,32,thicker
domination,159,domin
gees,50,gee
fever,391,fever
barry,1034,barri
disguise,100,disguis
overtones,29,overton
cemented,29,cement
shaggy,33,shaggi
claus,181,clau
connecticut,1012,connecticut
mort,31,mort
presley,208,presley
bo,315,bo
misfits,61,misfit
scorpions,58,scorpion
loc,216,loc
tragic,161,tragic
lucky,660,lucki
wednesday,1079,wednesday
pride,438,pride
geo,130,geo
jade,234,jade
bought,410,bought
fell,2165,fell
treasures,31,treasur
rainy,83,raini
revenue,333,revenu
lastly,517,lastli
moses,255,mose
constituency,82,constitu
borough,273,borough
abolished,107,abolish
leighton,36,leighton
sway,39,sway
elder,322,elder
rabbits,38,rabbit
sack,249,sack
python,195,python
tomato,205,tomato
cream,576,cream
rhyme,73,rhyme
dale,729,dale
sheep,363,sheep
leo,663,leo
sad,397,sad
foreshadowing,32,foreshadow
hiatus,98,hiatu
utopia,137,utopia
nuclear,2044,nuclear
leningrad,123,leningrad
ammonium,78,ammonium
nitrate,135,nitrat
electric,988,electr
jets,1141,jet
layers,116,layer
heavenly,50,heavenli
corporation,1580,corpor
transcendental,33,transcendent
swastika,133,swastika
nude,84,nude
pornographic,111,pornograph
console,276,consol
oxford,780,oxford
assembling,32,assembl
crimson,288,crimson
terry,1234,terri
riley,579,riley
romantic,302,romant
reception,438,recept
deck,391,deck
melodic,53,melod
vertical,535,vertic
spoken,296,spoken
leon,488,leon
noel,244,noel
birdman,52,birdman
knee,439,knee
jerk,131,jerk
moose,342,moos
nitro,61,nitro
funky,155,funki
medina,167,medina
sanders,370,sander
snoop,92,snoop
baseline,39,baselin
peas,103,pea
lesson,159,lesson
almond,45,almond
failures,138,failur
therein,47,therein
boston,4314,boston
antichrist,68,antichrist
laughable,51,laughabl
recipe,56,recip
worship,109,worship
lobster,121,lobster
thai,583,thai
tesla,57,tesla
republican,1426,republican
daddy,253,daddi
flowers,215,flower
apocalyptic,36,apocalypt
protagonist,91,protagonist
youth,1059,youth
disregard,163,disregard
minneapolis,377,minneapoli
sculpture,278,sculptur
bret,225,bret
psycho,79,psycho
clerks,76,clerk
trader,44,trader
stafford,175,stafford
abner,27,abner
tile,50,tile
wynne,122,wynn
recurring,1302,recur
ants,26,ant
pants,244,pant
ballard,106,ballard
lizzie,84,lizzi
ronald,664,ronald
permutations,27,permut
wedge,82,wedg
sum,1120,sum
islam,1154,islam
pr,510,pr
humour,326,humour
drunkenness,39,drunken
democrat,195,democrat
paradigm,61,paradigm
gimme,242,gimm
whisky,36,whiski
strawberry,209,strawberri
alarm,143,alarm
collins,628,collin
covert,116,covert
pronunciation,134,pronunci
pyruvate,85,pyruv
surfing,121,surf
sine,35,sine
halide,30,halid
dehydratase,38,dehydratas
hydro,102,hydro
leucine,26,leucin
amino,186,amino
transaminase,45,transaminas
alanine,36,alanin
aminotransferase,49,aminotransferas
ethyl,136,ethyl
tyrosine,33,tyrosin
phenylalanine,34,phenylalanin
fad,55,fad
aldehyde,44,aldehyd
glycol,47,glycol
thumb,333,thumb
benzoate,47,benzoat
octane,56,octan
astronaut,132,astronaut
storyline,120,storylin
ferry,282,ferri
arcade,242,arcad
supernova,139,supernova
argentina,1886,argentina
saloon,186,saloon
suburban,159,suburban
rhodes,252,rhode
phospho,44,phospho
carboxy,78,carboxi
butterfly,195,butterfli
polymerase,47,polymeras
rousseau,157,rousseau
peg,38,peg
confined,119,confin
lancashire,530,lancashir
cheshire,168,cheshir
yorkshire,607,yorkshir
pencil,166,pencil
pyrroline,44,pyrrolin
gamma,314,gamma
hydrolase,44,hydrolas
fluoride,37,fluorid
inhibit,26,inhibit
ether,98,ether
plural,272,plural
mir,156,mir
neutron,107,neutron
diffraction,26,diffract
florence,332,florenc
cox,421,cox
commonsense,407,commonsens
sa,2190,sa
theorem,406,theorem
clauses,47,claus
membership,453,membership
undefined,38,undefin
loud,395,loud
epsilon,321,epsilon
peacock,95,peacock
tooth,191,tooth
nail,197,nail
jesse,899,jess
ablaze,34,ablaz
massachusetts,2150,massachusett
palladium,27,palladium
worcester,141,worcest
shake,138,shake
booty,112,booti
boogie,34,boogi
footage,369,footag
shoreline,52,shorelin
sharia,47,sharia
trilogy,186,trilog
miscellaneous,101,miscellan
skull,215,skull
pod,95,pod
canonical,67,canon
