,FRENCH,ENGLISH,THEME,IMPORTANT,ENGLISH_nopunct,ENGLISH_noswords,ENGLISH_stem,FRENCH_nopunct,FRENCH_noswords,FRENCH_stem
908,ingénieur,engineer,astronomie espace univers,,engineer,engineer,engin,ingénieur,ingénieur,ingénieur
909,instable,unstable,astronomie espace univers,,unstable,unstable,unstabl,instable,instable,instabl
910,intergalactique,intergalactic,astronomie espace univers,,intergalactic,intergalactic,intergalact,intergalactique,intergalactique,intergalactiqu
911,interplanétaire,interplanetary,astronomie espace univers,,interplanetary,interplanetary,interplanetari,interplanétaire,interplanétaire,interplanétair
912,interstellaire,interstellar,astronomie espace univers,,interstellar,interstellar,interstellar,interstellaire,interstellaire,interstellair
913,l’allumage,the ignition,astronomie espace univers,,the ignition,ignition,ignit,l’allumage,’ allumage,’ allumag
914,l’altitude,the altitude,astronomie espace univers,,the altitude,altitude,altitud,l’altitude,’ altitude,’ altitud
915,l’astronaute,the astronaut,astronomie espace univers,,the astronaut,astronaut,astronaut,l’astronaute,’ astronaute,’ astronaut
916,l’astronomie,astronomy,astronomie espace univers,,astronomy,astronomy,astronomi,l’astronomie,’ astronomie,’ astronomi
917,l’astrophysique,astrophysics,astronomie espace univers,,astrophysics,astrophysics,astrophys,l’astrophysique,’ astrophysique,’ astrophysiqu
918,l’atmosphère,the atmosphere,astronomie espace univers,,the atmosphere,atmosphere,atmospher,l’atmosphère,’ atmosphère,’ atmosphèr
919,l’azote,nitrogen,astronomie espace univers,,nitrogen,nitrogen,nitrogen,l’azote,’ azote,’ azot
920,l’équipage,the crew,astronomie espace univers,,the crew,crew,crew,l’équipage,’ équipage,’ équipag
921,l’équipement,the equipment,astronomie espace univers,,the equipment,equipment,equip,l’équipement,’ équipement,’ équipement
922,l’espace,the space,astronomie espace univers,,the space,space,space,l’espace,’ espace,’ espac
923,l’exploration,the exploration,astronomie espace univers,,the exploration,exploration,explor,l’exploration,’ exploration,’ explor
924,l’hémisphère,the hemisphere,astronomie espace univers,,the hemisphere,hemisphere,hemispher,l’hémisphère,’ hémisphère,’ hémisphèr
925,l’impact,the impact,astronomie espace univers,,the impact,impact,impact,l’impact,’ impact,’ impact
926,l’inconnu,the unknown,astronomie espace univers,,the unknown,unknown,unknown,l’inconnu,’ inconnu,’ inconnu
927,l’origine,the origin,astronomie espace univers,,the origin,origin,origin,l’origine,’ origine,’ origin
928,l’oxygène,oxygen,astronomie espace univers,,oxygen,oxygen,oxygen,l’oxygène,’ oxygène,’ oxygèn
929,l’univers,the universe,astronomie espace univers,,the universe,universe,univers,l’univers,’ univers,’ univ
930,la chaleur,the heat,astronomie espace univers,,the heat,heat,heat,la chaleur,chaleur,chaleur
931,la combustion,combustion,astronomie espace univers,,combustion,combustion,combust,la combustion,combustion,combust
932,la comète,the comet,astronomie espace univers,,the comet,comet,comet,la comète,comète,comèt
933,la communication,the communication,astronomie espace univers,,the communication,communication,commun,la communication,communication,commun
934,la constellation,the constellation,astronomie espace univers,,the constellation,constellation,constel,la constellation,constellation,constel
935,la densité,the density,astronomie espace univers,,the density,density,densiti,la densité,densité,densité
936,la descente,the descent,astronomie espace univers,,the descent,descent,descent,la descente,descente,descent
937,la force centrifuge,centrifugal force,astronomie espace univers,,centrifugal force,centrifugal force,centrifugal forc,la force centrifuge,force centrifuge,force centrifug
938,la galaxie,the galaxy,astronomie espace univers,,the galaxy,galaxy,galaxi,la galaxie,galaxie,galaxi
939,la gravité,the gravity,astronomie espace univers,,the gravity,gravity,graviti,la gravité,gravité,gravité
940,la lumière,the light,astronomie espace univers,,the light,light,light,la lumière,lumière,lumièr
941,la lune,the moon,astronomie espace univers,,the moon,moon,moon,la lune,lune,lune
942,la navette,the shuttle,astronomie espace univers,,the shuttle,shuttle,shuttl,la navette,navette,navett
943,la navigation,the navigation,astronomie espace univers,,the navigation,navigation,navig,la navigation,navigation,navig
944,la recherche,the research,astronomie espace univers,,the research,research,research,la recherche,recherche,recherch
945,la station spatiale,the space station,astronomie espace univers,,the space station,space station,space st,la station spatiale,station spatiale,station spatial
946,la stratosphère,the stratosphere,astronomie espace univers,,the stratosphere,stratosphere,stratospher,la stratosphère,stratosphère,stratosphèr
947,la taille,the size,astronomie espace univers,,the size,size,size,la taille,taille,taill
948,la technologie,the technology,astronomie espace univers,,the technology,technology,technolog,la technologie,technologie,technologi
949,la température,the temperature,astronomie espace univers,,the temperature,temperature,temperatur,la température,température,températur
950,la terre,earth,astronomie espace univers,,earth,earth,earth,la terre,terre,terr
951,la vitesse de la lumière,the speed of light,astronomie espace univers,,the speed of light,speed light,speed light,la vitesse de la lumière,vitesse lumière,vitesse lumièr
952,la voie lactée,the milky way,astronomie espace univers,,the milky way,milky way,milky way,la voie lactée,voie lactée,voie lacté
953,le big bang,the big bang,astronomie espace univers,,the big bang,big bang,big bang,le big bang,big bang,big bang
954,le ciel,the sky,astronomie espace univers,,the sky,sky,sky,le ciel,ciel,ciel
955,le cosmos,the cosmos,astronomie espace univers,,the cosmos,cosmos,cosmo,le cosmos,cosmos,cosmo
956,le ravitailleur,the mothership,astronomie espace univers,,the mothership,mothership,mothership,le ravitailleur,ravitailleur,ravitailleur
957,le système solaire,the solar system,astronomie espace univers,,the solar system,solar system,solar system,le système solaire,système solaire,système solair
958,le transport,the transport,astronomie espace univers,,the transport,transport,transport,le transport,transport,transport
959,le vol,the flight,astronomie espace univers,,the flight,flight,flight,le vol,vol,vol
960,les anneaux de saturne,the rings of saturn,astronomie espace univers,,the rings of saturn,rings saturn,rings saturn,les anneaux de saturne,anneaux saturne,anneaux saturn
961,les données,the data,astronomie espace univers,,the data,data,data,les données,données,donné
962,les radiations,the radiation,astronomie espace univers,,the radiation,radiation,radiat,les radiations,radiations,radiat
963,loin,"far away, distant",astronomie espace univers,,far away distant,far away distant,far away dist,loin,loin,loin
964,magnétique,magnetic,astronomie espace univers,,magnetic,magnetic,magnet,magnétique,magnétique,magnétiqu
965,mars,mars,astronomie espace univers,,mars,mars,mar,mars,mars,mar
966,mercure,mercury,astronomie espace univers,,mercury,mercury,mercuri,mercure,mercure,mercur
967,neptune,neptune,astronomie espace univers,,neptune,neptune,neptun,neptune,neptune,neptun
968,jupiter,jupiter,astronomie espace univers,,jupiter,jupiter,jupit,jupiter,jupiter,jupit
969,pluton,pluto,astronomie espace univers,,pluto,pluto,pluto,pluton,pluton,pluton
970,saturne,saturn,astronomie espace univers,,saturn,saturn,saturn,saturne,saturne,saturn
971,stellaire,stellar,astronomie espace univers,,stellar,stellar,stellar,stellaire,stellaire,stellair
972,uranus,uranus,astronomie espace univers,,uranus,uranus,uranu,uranus,uranus,uranu
973,vénus,venus,astronomie espace univers,,venus,venus,venu,vénus,vénus,vénu
974,un astéroïde,an asteroid,astronomie espace univers,,an asteroid,asteroid,asteroid,un astéroïde,astéroïde,astéroïd
975,un astronome,an astronomer,astronomie espace univers,,an astronomer,astronomer,astronom,un astronome,astronome,astronom
976,un atterrisseur lunaire,a lunar lander,astronomie espace univers,,a lunar lander,lunar lander,lunar land,un atterrisseur lunaire,atterrisseur lunaire,atterrisseur lunair
977,un cratère,a crater,astronomie espace univers,,a crater,crater,crater,un cratère,cratère,cratèr
978,un échantillon,a sample,astronomie espace univers,,a sample,sample,sampl,un échantillon,échantillon,échantillon
979,un extra-terrestre,an alien,astronomie espace univers,,an alien,alien,alien,un extraterrestre,extraterrestre,extraterrestr
980,un instrument,an instrument,astronomie espace univers,,an instrument,instrument,instrument,un instrument,instrument,instrument
981,un laboratoire,a laboratory,astronomie espace univers,,a laboratory,laboratory,laboratori,un laboratoire,laboratoire,laboratoir
982,un martien,a martian,astronomie espace univers,,a martian,martian,martian,un martien,martien,martien
983,un module,a module,astronomie espace univers,,a module,module,modul,un module,module,modul
984,un moteur,"a motor, an engine",astronomie espace univers,,a motor an engine,motor engine,motor engin,un moteur,moteur,moteur
985,un objectif,an objective,astronomie espace univers,,an objective,objective,object,un objectif,objectif,objectif
986,un objet volant non identifié (ovni),an unknown flying object (ufo),astronomie espace univers,,an unknown flying object ufo,unknown flying object ufo,unknown flying object ufo,un objet volant non identifié ovni,objet volant identifié ovni,objet volant identifié ovni
987,un observatoire,an observatory,astronomie espace univers,,an observatory,observatory,observatori,un observatoire,observatoire,observatoir
988,un périple,a journey,astronomie espace univers,,a journey,journey,journey,un périple,périple,péripl
989,un physicien,a physicist,astronomie espace univers,,a physicist,physicist,physicist,un physicien,physicien,physicien
990,un propulseur,a thruster,astronomie espace univers,,a thruster,thruster,thruster,un propulseur,propulseur,propulseur
991,un radar,a radar,astronomie espace univers,,a radar,radar,radar,un radar,radar,radar
992,un rayon cosmique,a cosmic ray,astronomie espace univers,,a cosmic ray,cosmic ray,cosmic ray,un rayon cosmique,rayon cosmique,rayon cosmiqu
993,un satellite,a satellite,astronomie espace univers,,a satellite,satellite,satellit,un satellite,satellite,satellit
994,un scientifique,a scientist,astronomie espace univers,,a scientist,scientist,scientist,un scientifique,scientifique,scientifiqu
995,un télescope,a telescope,astronomie espace univers,,a telescope,telescope,telescop,un télescope,télescope,télescop
996,un trou noir,a black hole,astronomie espace univers,,a black hole,black hole,black hol,un trou noir,trou noir,trou noir
997,un vaisseau spatial,a spaceship,astronomie espace univers,,a spaceship,spaceship,spaceship,un vaisseau spatial,vaisseau spatial,vaisseau spati
998,une analyse,an analysis,astronomie espace univers,,an analysis,analysis,analysi,une analyse,analyse,analys
999,une année-lumière,a light-year,astronomie espace univers,,a lightyear,lightyear,lightyear,une annéelumière,annéelumière,annéelumièr
1000,une anomalie,an anomaly,astronomie espace univers,,an anomaly,anomaly,anomali,une anomalie,anomalie,anomali
1001,une aurore boréale,"a northern lights, an aurora",astronomie espace univers,,a northern lights an aurora,northern lights aurora,northern lights aurora,une aurore boréale,aurore boréale,aurore boréal
1002,une catastrophe,a disaster,astronomie espace univers,,a disaster,disaster,disast,une catastrophe,catastrophe,catastroph
1003,une ceinture d’astéroïdes,an asteroid belt,astronomie espace univers,,an asteroid belt,asteroid belt,asteroid belt,une ceinture d’astéroïdes,ceinture ’ astéroïdes,ceinture ’ astéroïd
1004,une collision,a collision,astronomie espace univers,,a collision,collision,collis,une collision,collision,collis
1005,une combinaison spatiale,a space suit,astronomie espace univers,,a space suit,space suit,space suit,une combinaison spatiale,combinaison spatiale,combinaison spatial
1006,une comète,a comet,astronomie espace univers,,a comet,comet,comet,une comète,comète,comèt
1007,une découverte,a discovery,astronomie espace univers,,a discovery,discovery,discoveri,une découverte,découverte,découvert
1008,une éclipse,an eclipse,astronomie espace univers,,an eclipse,eclipse,eclips,une éclipse,éclipse,éclips
1009,une étoile,a star,astronomie espace univers,,a star,star,star,une étoile,étoile,étoil
1010,une étoile filante,a shooting star,astronomie espace univers,,a shooting star,shooting star,shooting star,une étoile filante,étoile filante,étoile filant
1011,une expédition,an expedition,astronomie espace univers,,an expedition,expedition,expedit,une expédition,expédition,expédit
1012,une explosion,an explosion,astronomie espace univers,,an explosion,explosion,explos,une explosion,explosion,explos
1013,une fusée,a rocket,astronomie espace univers,,a rocket,rocket,rocket,une fusée,fusée,fusé
1014,une météorite,a meteorite,astronomie espace univers,,a meteorite,meteorite,meteorit,une météorite,météorite,météorit
1015,une mission,a mission,astronomie espace univers,,a mission,mission,mission,une mission,mission,mission
1016,une navette spatiale,a space shuttle,astronomie espace univers,,a space shuttle,space shuttle,space shuttl,une navette spatiale,navette spatiale,navette spatial
1017,une orbite,an orbit,astronomie espace univers,,an orbit,orbit,orbit,une orbite,orbite,orbit
1018,une planète,a planet,astronomie espace univers,,a planet,planet,planet,une planète,planète,planèt
1019,une preuve,"a proof, an evidence",astronomie espace univers,,a proof an evidence,proof evidence,proof evid,une preuve,preuve,preuv
1020,une rampe de lancement,a launch pad,astronomie espace univers,,a launch pad,launch pad,launch pad,une rampe de lancement,rampe lancement,rampe lanc
1021,une rotation,a rotation,astronomie espace univers,,a rotation,rotation,rotat,une rotation,rotation,rotat
1022,une sonde,a probe,astronomie espace univers,,a probe,probe,probe,une sonde,sonde,sond
1023,une trajectoire,a trajectory,astronomie espace univers,,a trajectory,trajectory,trajectori,une trajectoire,trajectoire,trajectoir
1024,une transmission,a transmission,astronomie espace univers,,a transmission,transmission,transmiss,une transmission,transmission,transmiss
1025,une turbulence,turbulence,astronomie espace univers,,turbulence,turbulence,turbul,une turbulence,turbulence,turbul
1026,armé,armed,astronomie espace univers,,armed,armed,arm,armé,armé,armé
1027,"abandonné, maltraité","abandoned, mistreated, neglected",crime criminalite,,abandoned mistreated neglected,abandoned mistreated neglected,abandoned mistreated neglect,abandonné maltraité,abandonné maltraité,abandonné maltraité
1028,de la contrebande,smuggling,crime criminalite,,smuggling,smuggling,smuggl,de la contrebande,contrebande,contreband
1029,de la fausse monnaie,counterfeit money,crime criminalite,,counterfeit money,counterfeit money,counterfeit money,de la fausse monnaie,fausse monnaie,fausse monnai
1030,des menottes,handcuffs,crime criminalite,,handcuffs,handcuffs,handcuff,des menottes,menottes,menott
1031,l’accusé,the accused,crime criminalite,,the accused,accused,accus,l’accusé,’ accusé,’ accusé
1032,l’adultère,adultery,crime criminalite,,adultery,adultery,adulteri,l’adultère,’ adultère,’ adultèr
1033,l’assaillant,the assailant,crime criminalite,,the assailant,assailant,assail,l’assaillant,’ assaillant,’ assail
1034,l’esclavage,slavery,crime criminalite,,slavery,slavery,slaveri,l’esclavage,’ esclavage,’ esclavag
1035,l’espionnage,"spying, espionage",crime criminalite,,spying espionage,spying espionage,spying espionag,l’espionnage,’ espionnage,’ espionnag
1036,la calomnie,slander,crime criminalite,,slander,slander,slander,la calomnie,calomnie,calomni
1037,la conspiration,conspiracy,crime criminalite,,conspiracy,conspiracy,conspiraci,la conspiration,conspiration,conspir
1038,la contrefaçon,forgery,crime criminalite,,forgery,forgery,forgeri,la contrefaçon,contrefaçon,contrefaçon
1039,la corruption,"corruption, bribery",crime criminalite,,corruption bribery,corruption bribery,corruption briberi,la corruption,corruption,corrupt
1040,la cybercriminalité,cybercrime,crime criminalite,,cybercrime,cybercrime,cybercrim,la cybercriminalité,cybercriminalité,cybercriminalité
1041,la délinquance,delinquency,crime criminalite,,delinquency,delinquency,delinqu,la délinquance,délinquance,délinquanc
1042,la diffamation,defamation,crime criminalite,,defamation,defamation,defam,la diffamation,diffamation,diffam
1043,la discrimination,discrimination,crime criminalite,,discrimination,discrimination,discrimin,la discrimination,discrimination,discrimin
1044,la mafia,the mafia.,crime criminalite,,the mafia,mafia,mafia,la mafia,mafia,mafia
1045,la pédophilie,paedophilia,crime criminalite,,paedophilia,paedophilia,paedophilia,la pédophilie,pédophilie,pédophili
1046,la peine de mort,the death penalty,crime criminalite,,the death penalty,death penalty,death penalti,la peine de mort,peine mort,peine mort
1047,la prostitution,prostitution,crime criminalite,,prostitution,prostitution,prostitut,la prostitution,prostitution,prostitut
1048,la torture,torture,crime criminalite,,torture,torture,tortur,la torture,torture,tortur
1049,la violence à l’égard des enfants,child abuse,crime criminalite,,child abuse,child abuse,child abus,la violence à l’égard des enfants,violence ’ égard enfants,violence ’ égard enf
1050,la violence familiale,"domestic abuse, domestic violence",crime criminalite,,domestic abuse domestic violence,domestic abuse domestic violence,domestic abuse domestic viol,la violence familiale,violence familiale,violence familial
1051,le chantage,blackmail,crime criminalite,,blackmail,blackmail,blackmail,le chantage,chantage,chantag
1052,le crime organisé,organized crime,crime criminalite,,organized crime,organized crime,organized crim,le crime organisé,crime organisé,crime organisé
1053,le cyberharcèlement,cyberstalking,crime criminalite,,cyberstalking,cyberstalking,cyberstalk,le cyberharcèlement,cyberharcèlement,cyberharcèl
1054,le délit de fuite,hit-and-run,crime criminalite,,hitandrun,hitandrun,hitandrun,le délit de fuite,délit fuite,délit fuit
1055,le détournement de mineur,the misappropriation of a minor,crime criminalite,,the misappropriation of a minor,misappropriation minor,misappropriation minor,le détournement de mineur,détournement mineur,détournement mineur
1056,le harcèlement sexuel,sexual harassment,crime criminalite,,sexual harassment,sexual harassment,sexual harass,le harcèlement sexuel,harcèlement sexuel,harcèlement sexuel
1057,le suspect,the suspect,crime criminalite,,the suspect,suspect,suspect,le suspect,suspect,suspect
1058,le terrorisme,terrorism,crime criminalite,,terrorism,terrorism,terror,le terrorisme,terrorisme,terrorism
1059,le tireur,the shooter,crime criminalite,,the shooter,shooter,shooter,le tireur,tireur,tireur
1060,le vandalisme,vandalism,crime criminalite,,vandalism,vandalism,vandal,le vandalisme,vandalisme,vandalism
1061,le vol à l’arrachée,snatching,crime criminalite,,snatching,snatching,snatch,le vol à l’arrachée,vol ’ arrachée,vol ’ arraché
1062,le vol à l’étalage,shoplifting,crime criminalite,,shoplifting,shoplifting,shoplift,le vol à l’étalage,vol ’ étalage,vol ’ étalag
1063,les mauvais traitement/abus,violence/abuse,crime criminalite,,violenceabuse,violenceabuse,violenceabus,les mauvais traitementabus,mauvais traitementabus,mauvais traitementabu
1064,menaçant,threatening,crime criminalite,,threatening,threatening,threaten,menaçant,menaçant,menaç
1065,trahison,treason,crime criminalite,,treason,treason,treason,trahison,trahison,trahison
1066,un abus de confiance,"a breach of trust, confidence trick",crime criminalite,,a breach of trust confidence trick,breach trust confidence trick,breach trust confidence trick,un abus de confiance,abus confiance,abus confi
1067,un assaillant,an assailant,crime criminalite,,an assailant,assailant,assail,un assaillant,assaillant,assail
1068,un assassin,a murderer,crime criminalite,,a murderer,murderer,murder,un assassin,assassin,assassin
1069,un assassinat,an assassination,crime criminalite,,an assassination,assassination,assassin,un assassinat,assassinat,assassinat
1070,un attentat,an attack,crime criminalite,,an attack,attack,attack,un attentat,attentat,attentat
1071,un braquage,"a hold up, a robbery",crime criminalite,,a hold up a robbery,hold robbery,hold robberi,un braquage,braquage,braquag
1072,un cambriolage,a burglary,crime criminalite,,a burglary,burglary,burglari,un cambriolage,cambriolage,cambriolag
1073,un cambrioleur,"a robber, a burglar",crime criminalite,,a robber a burglar,robber burglar,robber burglar,un cambrioleur,cambrioleur,cambrioleur
1074,un complice,an accomplice,crime criminalite,,an accomplice,accomplice,accomplic,un complice,complice,complic
1075,un complot,a conspiracy,crime criminalite,,a conspiracy,conspiracy,conspiraci,un complot,complot,complot
1076,un contrebandier,a smuggler,crime criminalite,,a smuggler,smuggler,smuggler,un contrebandier,contrebandier,contrebandi
1077,un coupable,"a guilty person, a culprit",crime criminalite,,a guilty person a culprit,guilty person culprit,guilty person culprit,un coupable,coupable,coupabl
1078,un couteau,a knife.,crime criminalite,,a knife,knife,knife,un couteau,couteau,couteau
1079,un crime contre l’humanité,a crime against humanity,crime criminalite,,a crime against humanity,crime humanity,crime human,un crime contre l’humanité,crime contre ’ humanité,crime contre ’ humanité
1080,un criminel,a criminal,crime criminalite,,a criminal,criminal,crimin,un criminel,criminel,criminel
1081,un dealer de drogue,a drug dealer,crime criminalite,,a drug dealer,dealer,dealer,un dealer de drogue,dealer drogue,dealer drogu
1082,un délit,"an offence, a crime",crime criminalite,,an offence a crime,offence crime,offence crim,un délit,délit,délit
1083,un délit d’initié,insider trading,crime criminalite,,insider trading,insider trading,insider trad,un délit d’initié,délit ’ initié,délit ’ initié
1084,un détournement,a hijacking,crime criminalite,,a hijacking,hijacking,hijack,un détournement,détournement,détournement
1085,un empoisonnement,poisoning,crime criminalite,,poisoning,poisoning,poison,un empoisonnement,empoisonnement,empoisonn
1086,un enlèvement,"an abduction, a kidnapping",crime criminalite,,an abduction a kidnapping,abduction kidnapping,abduction kidnap,un enlèvement,enlèvement,enlèvement
1087,un espion,a spy,crime criminalite,,a spy,spy,spi,un espion,espion,espion
1088,un faux témoignage,perjury,crime criminalite,,perjury,perjury,perjuri,un faux témoignage,faux témoignage,faux témoignag
1089,un féminicide,a femicide,crime criminalite,,a femicide,femicide,femicid,un féminicide,féminicide,féminicid
1090,un flagrant délit,an obvious offence,crime criminalite,,an obvious offence,obvious offence,obvious off,un flagrant délit,flagrant délit,flagrant délit
1091,un fugitif,a fugitive,crime criminalite,,a fugitive,fugitive,fugit,un fugitif,fugitif,fugitif
1092,un gangster,a gangster,crime criminalite,,a gangster,gangster,gangster,un gangster,gangster,gangster
1093,un génocide,genocide,crime criminalite,,genocide,genocide,genocid,un génocide,génocide,génocid
1094,un hacker,a hacker,crime criminalite,,a hacker,hacker,hacker,un hacker,hacker,hacker
1095,un homicide,homicide,crime criminalite,,homicide,homicide,homicid,un homicide,homicide,homicid
1096,un homicide involontaire,manslaughter,crime criminalite,,manslaughter,manslaughter,manslaught,un homicide involontaire,homicide involontaire,homicide involontair
1097,un hors la loi,an outlaw,crime criminalite,,an outlaw,outlaw,outlaw,un hors la loi,hors loi,hors loi
1098,un incendie criminel,arson,crime criminalite,,arson,arson,arson,un incendie criminel,incendie criminel,incendie criminel
1099,un incendie volontaire,an arson attack,crime criminalite,,an arson attack,arson attack,arson attack,un incendie volontaire,incendie volontaire,incendie volontair
1100,un infanticide,an infanticide,crime criminalite,,an infanticide,infanticide,infanticid,un infanticide,infanticide,infanticid
1101,un kidnappeur,a kidnapper,crime criminalite,,a kidnapper,kidnapper,kidnapp,un kidnappeur,kidnappeur,kidnappeur
1102,un larcin,petty theft,crime criminalite,,petty theft,petty theft,petty theft,un larcin,larcin,larcin
1103,un maître chanteur,a blackmailer,crime criminalite,,a blackmailer,blackmailer,blackmail,un maître chanteur,maître chanteur,maître chanteur
1104,un malfaiteur,a criminal,crime criminalite,,a criminal,criminal,crimin,un malfaiteur,malfaiteur,malfaiteur
1105,un mariage blanc,a sham marriage,crime criminalite,,a sham marriage,sham marriage,sham marriag,un mariage blanc,mariage blanc,mariage blanc
1106,un meurtre,a murder,crime criminalite,,a murder,murder,murder,un meurtre,meurtre,meurtr
1107,un meurtrier,a murderer,crime criminalite,,a murderer,murderer,murder,un meurtrier,meurtrier,meurtrier
1108,un multirécidiviste,"a repeat offender, a persistent offender",crime criminalite,,a repeat offender a persistent offender,repeat offender persistent offender,repeat offender persistent offend,un multirécidiviste,multirécidiviste,multirécidivist
1109,un narco-trafiquant,a narco-trafficker,crime criminalite,,a narcotrafficker,narcotrafficker,narcotraffick,un narcotrafiquant,narcotrafiquant,narcotrafiqu
1110,un pédophile,a pedophile,crime criminalite,,a pedophile,pedophile,pedophil,un pédophile,pédophile,pédophil
1111,un pickpocket,a pickpocket,crime criminalite,,a pickpocket,pickpocket,pickpocket,un pickpocket,pickpocket,pickpocket
1112,un pirate,a pirate,crime criminalite,,a pirate,pirate,pirat,un pirate,pirate,pirat
1113,un pistolet,a pistol.,crime criminalite,,a pistol,pistol,pistol,un pistolet,pistolet,pistolet
1114,un pot de vin,a bribe,crime criminalite,,a bribe,bribe,bribe,un pot de vin,vin,vin
1115,un pyromane,an arsonist,crime criminalite,,an arsonist,arsonist,arsonist,un pyromane,pyromane,pyroman
1116,un terroriste,a terrorist,crime criminalite,,a terrorist,terrorist,terrorist,un terroriste,terroriste,terrorist
1117,un toxicomane,"an addict, a drug addict",crime criminalite,,an addict a drug addict,addict addict,addict addict,un toxicomane,toxicomane,toxicoman
1118,un trafic de drogue,drug trafficking,crime criminalite,,drug trafficking,trafficking,traffick,un trafic de drogue,trafic drogue,trafic drogu
1119,un tueur,a killer,crime criminalite,,a killer,killer,killer,un tueur,tueur,tueur
1120,un tueur en série,a serial killer,crime criminalite,,a serial killer,serial killer,serial kil,un tueur en série,tueur série,tueur séri
1121,un viol,a rape,crime criminalite,,a rape,rape,rape,un viol,viol,viol
1122,un violeur,a rapist,crime criminalite,,a rapist,rapist,rapist,un violeur,violeur,violeur
1123,un vol,"a robbery, a theft",crime criminalite,,a robbery a theft,robbery theft,robbery theft,un vol,vol,vol
1124,un vol à l’étalage,shoplifting,crime criminalite,,shoplifting,shoplifting,shoplift,un vol à l’étalage,vol ’ étalage,vol ’ étalag
1125,un vol à main armée,an armed robbery,crime criminalite,,an armed robbery,armed robbery,armed robberi,un vol à main armée,vol main armée,vol main armé
1126,un vol d’identité,identity theft,crime criminalite,,identity theft,identity theft,identity theft,un vol d’identité,vol ’ identité,vol ’ identité
1127,un voleur,a thief,crime criminalite,,a thief,thief,thief,un voleur,voleur,voleur
1128,un voleur à l’étalage,a shoplifter,crime criminalite,,a shoplifter,shoplifter,shoplift,un voleur à l’étalage,voleur ’ étalage,voleur ’ étalag
1129,un voleur armé,an armed thief / robber,crime criminalite,,an armed thief  robber,armed thief robber,armed thief robb,un voleur armé,voleur armé,voleur armé
1130,une agression,"an agression, an assault, an attack",crime criminalite,,an agression an assault an attack,agression assault attack,agression assault attack,une agression,agression,agress
1131,une agression physique,physical assault,crime criminalite,,physical assault,physical assault,physical assault,une agression physique,agression physique,agression physiqu
1132,une agression sexuelle,a sexual assault,crime criminalite,,a sexual assault,sexual assault,sexual assault,une agression sexuelle,agression sexuelle,agression sexuel
1133,une alarme,an alarm,crime criminalite,,an alarm,alarm,alarm,une alarme,alarme,alarm
1134,une arme,a weapon.,crime criminalite,,a weapon,weapon,weapon,une arme,arme,arm
1135,une attaque armée,an armed attack,crime criminalite,,an armed attack,armed attack,armed attack,une attaque armée,attaque armée,attaque armé
1136,une bombe,a bomb,crime criminalite,,a bomb,bomb,bomb,une bombe,bombe,bomb
1137,une émeute,a riot,crime criminalite,,a riot,riot,riot,une émeute,émeute,émeut
1138,une escroquerie,a scam,crime criminalite,,a scam,scam,scam,une escroquerie,escroquerie,escroqueri
1139,une fraude,a fraud,crime criminalite,,a fraud,fraud,fraud,une fraude,fraude,fraud
1140,une fraude bancaire,bank fraud,crime criminalite,,bank fraud,bank fraud,bank fraud,une fraude bancaire,fraude bancaire,fraude bancair
1141,une intrusion,trespassing,crime criminalite,,trespassing,trespassing,trespass,une intrusion,intrusion,intrus
1142,une négligence,negligence,crime criminalite,,negligence,negligence,neglig,une négligence,négligence,négligenc
1143,une preuve,a proof,crime criminalite,,a proof,proof,proof,une preuve,preuve,preuv
1144,une prison,a prison,crime criminalite,,a prison,prison,prison,une prison,prison,prison
1145,une victime,a victim,crime criminalite,,a victim,victim,victim,une victime,victime,victim
1146,accuser,to accuse,crime criminalite,,to accuse,accuse,accus,accuser,accuser,accus
1147,acquitter,to acquit,crime criminalite,,to acquit,acquit,acquit,acquitter,acquitter,acquitt
1148,agresser,to assault,crime criminalite,,to assault,assault,assault,agresser,agresser,agress
1149,assassiner,"to murder, to assassinate",crime criminalite,,to murder to assassinate,murder assassinate,murder assassin,assassiner,assassiner,assassin
1150,attaquer,to attack,crime criminalite,,to attack,attack,attack,attaquer,attaquer,attaqu
1151,battre,to beat up,crime criminalite,,to beat up,beat,beat,battre,battre,battr
1152,cambrioler,"to burglarize, to burgle",crime criminalite,,to burglarize to burgle,burglarize burgle,burglarize burgl,cambrioler,cambrioler,cambriol
1153,charger,to charge,crime criminalite,,to charge,charge,charg,charger,charger,charger
1154,chercher,to search,crime criminalite,,to search,search,search,chercher,chercher,chercher
1155,condamner,"to convict, to sentence",crime criminalite,,to convict to sentence,convict sentence,convict sent,condamner,condamner,condamn
1156,de détourner,to hijack,crime criminalite,,to hijack,hijack,hijack,de détourner,détourner,détourner
1157,défendre,to defend,crime criminalite,,to defend,defend,defend,défendre,défendre,défendr
1158,droguer quelqu’un,to drug,crime criminalite,,to drug,,,droguer quelqu’un,droguer quelqu ’,droguer quelqu ’
1159,empoisonner,to poison,crime criminalite,,to poison,poison,poison,empoisonner,empoisonner,empoisonn
1160,emprisonner,to imprison,crime criminalite,,to imprison,imprison,imprison,emprisonner,emprisonner,emprisonn
1161,endommager,to damage,crime criminalite,,to damage,damage,damag,endommager,endommager,endommag
1162,enfermer,to lock up,crime criminalite,,to lock up,lock,lock,enfermer,enfermer,enferm
