ID,ENGLISH,OCCURENCES,ENGLISH_stem,JAPAN,PORTUGAIS,KOREAN,RUSSIAN,DANOIS,POLONAIS,FRENCH,SPAIN,DEUTSCH,CHINESE,TURC,ARABE,HINDI
2849,piccadilly,43,piccadilli,Piccadilly,piccadilly.,피카딜리,пикадилли,piccadilly.,Piccadilly.,piccadilly,piccadilly,piccadilly.,皮卡迪利,piccadilly,piccadilly.,Piccadilly
2850,brough,43,brough,br br,Brough,짜기,сумасшедший,Brough.,brough.,épaulement,brough,Brüder,br,kabarık,حث,आरा
2851,congestion,43,congest,渋滞,congestionamento,충혈,скопление,overbelastning,przeludnienie,congestion,congestión,Überlastung,拥塞,tıkanıklık,ازدحام، اكتظاظ، احتقان,भीड़
2852,carved,43,carv,彫刻しました,esculpido,새기는,резной,carved.,rzeźbiony,sculpté,tallado,geschnitzt,雕刻,oyulmuş,منحوتة,खुदी हुई
2853,gut,43,gut,腸,intestino,배짱,ума,tarm,jelito,intestin,intestino,Darm,胆量,bağırsak,أذى,आंत
2854,fourier,43,fourier,フーリエ,Fourier.,푸리에,Фурье,Fourier.,fourier.,fantaisiste,de Fourier,Fourier,傅里叶,fourier,فورييه,फूरियर
2855,discern,43,discern,識別する,discernir,분별하다,различисть,discern.,rozeznać,discerner,discernir,erkennen,辨别,ayırt etmek,تميز - تدرك,पहचानना
2856,careless,43,careless,不注意,descuidado,경솔한,беспечный,ligegyldig,nieostrożny,négligent,descuidado,leichtsinnig,粗心,dikkatsiz,غير مبالي,लापरवाह
2857,astonishing,43,astonish,ast ast,surpreendente,놀라운,удивительный,forbavsende,zadziwiający,étonnant,asombroso,erstaunlich,惊人,şaşırtıcı,مذهل,आश्चर्यजनक
2858,unsolved,43,unsolv,未解決の,não resolvido,unicated.,нерешеный,uløst,nierozwiązany,non résolu,no resuelto,ungelöst,uns,çözülmemiş,غير متحكم,न सुलझा हुआ
2859,spoof,43,spoof,やり方,paródia,속이기,отделение,spoof.,naciąganie,parodie,parodia,Parodie,欺骗,sarmak,محاكاة ساخرة,चकमा देना
2860,ventilation,43,ventil,換気,ventilação,통풍,вентиляция,ventilation,wentylacja,ventilation,ventilación,Belüftung,通风,havalandırma,تنفس,हवादार
2861,coon,43,coon,co,Coon.,검둥이,вал,coon.,szop,nègre,mapache,Waschbär,浣熊,coon,كون,कून
2862,canes,43,cane,杖,bastões,지팡이,тросточки,CANES.,laski,cannes,caña,Canes.,披肩,tüfek,عصب,कंस
2863,flavors,43,flavor,香り,sabores,맛,ароматы,smagsstoffer.,smaki,les saveurs,sabores,Aromen,味道,lezzet,النكهات,जायके
2864,badass,43,badass,バッサス,fodão,짐을 싣는 것,очарование,Badass.,skurczybyk,dur à cuire,impresionante,knallhart,坏蛋,sağlam,صلب، قوي,बदमाश
2865,estrogen,43,estrogen,エストロゲン,Estrogênio.,에스트로겐,эстроген,østrogen,estrogen,œstrogène,estrógeno,Östrogen,雌激素,estrojen,الاستروجين,एस्ट्रोजन
2866,angelica,43,angelica,アンジェリカ,angélica,안젤리카,Анжелика,Angelica.,dzięgiel,angélique,angélica,Engelwurz,当归,Angelica,أنجليكا,एंजेलिका
2867,speer,43,speer,sp sp,speer.,스위트,обременять,Speer.,spacer.,speer,spero,Spezer,Speer.,speer,Speer.,स्पीयर
2868,overboard,43,overboard,陸庫,ao mar,배 밖으로,за бортом,overbord.,za burtę,à la mer,al agua,über Bord,落后,denize,مبالغة,जहाज़ के बाहर
2869,daler,43,daler,デヤー,daler.,Daler.,далер,Daler.,daler.,daler,daler,Daler,d,daler,دالر,दलेर
2870,aquifer,43,aquif,静水器,aquífero,대수리기,горизонт,AQUIFER.,warstwa wodonośna,aquifère,acuífero,Aquifer,含水层,akifer,طبقة المياه الجوفية,जलभृत
2871,pubic,43,pubic,恥骨,pubic.,음부,лобковый,pubic.,łonowy,pubien,púbico,Pubic.,耻骨,kasık,العانة,जघन
2872,renal,43,renal,老人,renal,신장,почка,Renal.,nerkowy,rénal,renal,Nieren-,ren,renal,الكلى,गुर्दे
2873,elasticity,43,elast,弾性,elasticidade,탄력,эластичность,elasticitet,elastyczność,élasticité,elasticidad,Elastizität,弹性,esneklik,مرونة,लोच
2874,durst,43,durst,d d,durst.,더러움,ворс,DURST.,durst.,durst,Durst,Durst,杜斯特,dırcı,دور,डर्स्ट
2875,leprechaun,43,leprechaun,レプラコン,leprechaun.,레프 러 콘 요정,leprechaun.,leprechaun.,krasnoludek,lutin,duende,Kobold,妖精,leprechaun,متشيطن,छोटा सा आदमी
2876,cider,43,cider,サイダー,cidra,사과주,сидр,cider.,cydr,Cidre,sidra,Apfelwein,苹果酒,Elmadan yapılan bir içki,عصير التفاح,साइडर
2877,hoya,43,hoya,ホーヤ,Hoya.,호야,хоя,hoya.,hoya.,hoya,Hoya,Hoya,霍亚,hoya,هويا,होया
2878,witty,43,witti,お守り,inteligente,재치 있는,остроумный,vittig,dowcipny,spirituel,ingenioso,witzig,机智,esprili,بارع,विनोदपूर्ण
2879,bogan,43,bogan,玉の,maloqueiro,보글,беган,BOGAN.,Bogan,bogan,bogan,Bogan,博根,bogan,بوغان,बोगन
2880,resurgent,43,resurg,復旧,ressurgente,부랑자,возрождаться,resurgent.,wskrzeszony,renaissant,resurgente,ernsthaft,复活,diriliş,ناهض,पुनस्र्त्थानशील
2881,encamped,43,encamp,めったに,acampado,incamped.,накапливаться,encamped.,obozowany,enchangé,acampado,lagerlich,营地,çevreleyen,ويقظ,डेरा
2882,juba,43,juba,ジュバピー,júba.,주바,juba.,Juba.,Juba.,juba,juba,Juba,朱巴,juba,جوبا,जुबा
2883,risky,43,riski,リスキーな,arriscado,위험한,рискованный,risikabel,ryzykowny,risqué,arriesgado,riskant,有风险,riskli,محفوف بالمخاطر,जोखिम भरा
2884,brim,43,brim,鍔,borda,가장자리,оздоровительный,skygge,rondo,bord,borde,Rand,边缘,brim,حافة,किनारा
2885,hippocrates,43,hippocr,ヒポクラテス,Hipócrates,히포크라테스의,Гиппократ,Hippocrates.,Hipokrates.,hippocrate,hipócrates,Hippokrates,希波克拉底,Hipokrat,أبقراط,हिप्पोक्रेट्स
2886,mopper,43,mopper,モッパー,mopper.,모핑퍼,репутация,mopper.,mopper.,épandeur,mopper,Mopper,摩托车,mopper,mopper.,मॉपर
2887,somers,43,somer,サマーズ,Somers.,서머르스,сомеры,somers.,somery,somer,somers,Somers,索,Somers,سومرز,सोमर्स
2888,traumatic,43,traumat,tr tr,traumático,외상성,травматизм,traumatisk,traumatyczny,traumatique,traumático,traumatisch,创伤,travmatik,مؤلمة,घाव
2889,sabine,43,sabin,サビネ,Sabine.,사빈,сабин,sabine.,sabine.,sabine,Sabino,Sabine,萨宾,sabin,سابين,सबीन
2890,mora,43,mora,モラの,Mora,모라,мора,mora.,mora,mora,mora,Mora,猜拳,Mora,مورا,मोरा
2891,fruition,43,fruition,fr,fruição,결실,плода,fruition,urzeczywistnienie,réalisation,fruición,Fraktion,fr,meyil,فاكهة,स्वाद
2892,inundated,43,inund,浸水した,inundado,융통 스럽다,затопленный,oversvømmet,zalany,inondé,inundado,überschwemmt,淹没,su altında kalmış,غمرت,बाढ़
2893,whipped,43,whip,ホイップした,açoitado,휘핑,взбиты,Whipped.,bitowany,fouetté,azotado,gepeitscht,鞭打,çırpılmış,جلد,मार पड़ी है
2894,shetland,43,shetland,シェトランド,Shetland.,셰틀 랜드,Шетланд,Shetland.,Szetland,shetland,shetland,Shetland,邻国,shetland,شتلاند,शेटलैंड
2895,atrocious,43,atroci,凶悪な,atroz,극악한,actrocious,frygtelig,okrutny,atroce,atroz,scheußlich,at,acımasız,attrocious.,नृशंस
2896,necrophilia,43,necrophilia,Necrophilia.,Necrofilia,시간,некрофилия,nekrophilia.,necrophilia.,nécrophilia,necrofilia,Nekrophilie,necrophilia,nekrofilik,necrophilia.,नेक्रोफ़ीलिया
2897,distinctly,43,distinctli,dist dist,distintamente,뚜렷하게,отчетливо,tydeligt,wyraźnie,distinctement,distintivamente,deutlich,明显,açıkça,بوضوح,साफ़ तौर पर
2898,cholesterol,43,cholesterol,コレステロール,colesterol,콜레스테롤,холестерин,cholesterol.,cholesterol,cholestérol,colesterol,Cholesterin,胆固醇,kolesterol,الكوليسترول,कोलेस्ट्रॉल
2899,intercollegiate,43,intercollegi,為替,intercolegial,interccolegiate.,межведом,intercollegiate.,międzyuczelniany,intercollementer,entre varios colegios,Intercrolgate.,互殖,intercollegiate,intercollegiate.,कल्लेगियों के बीच का
2900,disarmed,43,disarm,武装した,desarmado,무장 해제하다,разоружен,afvæbnet,rozbrojenie,désarmé,desarmado,entwaffnet,解除武装,devredilen,نزع سلاحه,निरस्त्र
2901,angrily,43,angrili,怒り,com raiva,노하여,сердито,vredt,gniewnie,avec colère,furiosamente,wütend,愤怒地,öfkeyle,بغضب,गुस्से से
2902,diaper,43,diaper,おむつ,fralda,기저귀,подгузник,ble,pielucha,couche,pañal,Windel,尿布,bebek bezi,حفاظه,डायपर
2903,grapefruit,43,grapefruit,グレープフルーツ,Toranja,그레이프 프루트,грейпфрут,grapefrugt,grejpfrut,pamplemousse,pomelo,Grapefruit,西柚,greyfurt,جريب فروت,चकोतरा
2904,desi,43,desi,デシ,desi.,desi.,дези,desi.,desi,desi,desi,Dessi,desi,desi,عشاق,देसी
2905,inverness,43,inver,インバネス,Inverness,인버네스,инвернесс,Inverness.,Inverness,inverness,inverness,Inverness.,因弗内斯,inverness,إينفيرنيس,इन्वरनेस
2906,byzantium,43,byzantium,ビザンチウム,Bizantium.,비잔티움,византий,Byzantium.,Bizantium.,Byzance,Bizancio,Byzanz,拜占庭,Bizans,بيزنطيوم,बीजान्टियम
2907,mercantilism,43,mercantil,商品,mercantilismo,멀티리스즘,меркантилизм,Mercantilism.,Mercantylizm.,mercantilisme,mercantilismo,Merkantilismus,商品,ticaret,مركسي,वणिकवाद
2908,scrabble,43,scrabbl,scr scr,scrabble,스크래블,обременять,scrabble.,bazgrać,scrabble,escarbar,Scrabble,拼字缩写,scrabble,الخربشة,खरोंचना
2909,neonatal,43,neonat,新生児,neonatal,신생아,неонатал,neonatal.,neonatal.,néonatal,neonatal,neonatal,新生儿,yenidoğan,حديثي الولادة,नवजात
2910,cupboard,43,cupboard,カップボード,armário,찬장,буфет,skab,kredens,armoire,alacena,Schrank,橱柜,büfe,مخزنة,अलमारी
2911,creme,43,creme,クリーム,creme,크림,крем,creme.,krem,crème,crema,Creme,奶油,krem,كريمة,क्रीम
2912,inductees,43,inducte,インダクテ,Inductees.,인덕터,Индукты,inductes.,indukcyjne,inductanément,inducciones,Induktee,托管人,indüksiyonlar,مثاد,पर शामिल
2913,diner,43,diner,食器,o jantar,식당,закусочный,diner.,tania restauracja,le dîner,cena,Diner,饭店,lokanta,العشاء,भोजन करनेवाला
2914,pampas,43,pampa,パンパス,pampas,팜파스,пампас,pampas.,Pampasy,pampa,pampa,Pampas,PAMPAS.,pampalar,بامباس,पंपास
2915,causeway,43,causeway,コーズウェイ,Causeway.,둑길,промежуток времени,kausway.,grobla,chaussée,calzada elevada,Damm,堤道,causeway,جسر,पक्की सड़क
2916,pci,43,pci,PCI,PCI.,PCI.,pci.,PCI.,PCI.,pci,pci,PCI.,PCI.,PCI,PCI.,पीसीआई
2917,northerly,43,northerli,北に,Northerly,북쪽으로,северный,nordherly.,na północ,du nord,norte,nördlich.,北方,kuzeyden,الشمال,उत्तर
2918,chiba,43,chiba,千葉,chiba.,치바,Чиба,chiba.,Chiba.,chiba,chiba,Chiba,千叶,chiba,تشيبا,चिबा
2919,boll,43,boll,b b,boll.,왈츠,боевик,Boll.,torebka,bée,cápsula,Boll.,铃,koza,بول,बोल
2920,coburg,43,coburg,コーブル,Coburg.,Coburg.,Coburg,coburg.,Coburg.,Coburg,coburg,Coburg,coburg.,coburg,كوبورغ,कोबर्ग
2921,anglian,43,anglian,アングリアン,Anglian,앵글리언,anglian,anglian.,angliński,Anglian,angliano,Anglian.,盎格劳,Anglian,Anglian.,एंग्लियन
2922,babu,43,babu,bab,Babu.,바보,бабушка,Babu.,Babu.,babu,babu,Babu.,巴布,Babu,بابو,बाबू
2923,beryllium,43,beryllium,ベリリウム,berílio,베릴륨,бериллия,beryllium,beryl,béryllium,berilio,Beryllium,铍,berilyum,بريليوم,फीरोज़ा
2924,treble,43,trebl,tr tr,agudos,고음부,укрываться,Treble.,potroić,tripler,triplicar,verdreifachen,高音,tiz,treble.,तिहरा
2925,mcg,43,mcg,MCG,mcg.,맥기,MCG,mcg.,MCG.,mcg,mcg,McG.,麦格,mcg,MCG.,मिलीग्राम
2926,goldwater,43,goldwat,ゴールドウォーター,Goldwater,골드 워터,золотая вода,Goldwater.,Goldwater.,eaux d'or,agua de Oro,Goldwasser,Goldwater.,altın su,مياه جولد,गोल्डवाटर
2927,bade,43,bade,ベード,bade.,바드,бассейн,Bade.,badanie,dorer,banda,einbösen,b,bitmek,بايد,बड़े
2928,pyrenees,43,pyrene,ピレネー,Pirinéus.,피레네 산맥,Пиренеи,Pyrenæerne,Pireneje,pyrénées,Pirineos,Pyrenäen,比利牛斯,pireneler,بيرينيه,पायरेनीज़
2929,civilly,44,civilli,凡意,civilmente,민법상,гражданский,civil,grzecznie,poliment,civilmente,zivilfrei,civil,sivilce,مدني,आदाब से
2930,dopamine,44,dopamin,ドーパミン,dopamina,도파민,дофамин,dopamin.,dopamina,dopamine,dopamina,dopamin,多巴胺,dopamin,الدوبامين,डोपामाइन
2931,cit,44,cit,cit,cit,씨,связывать,cit,CIT.,cit,cit,Cit,cit,cit,سمع,सीआईटी
2932,farthest,44,farthest,f f,mais distante,가장 먼,самый дальний,længst,najdalej,le plus éloigné,más lejano,am weitesten,最远,en uzak,farthest.,सब से अधिक दूर
2933,outward,44,outward,外側に,para fora,외부,наружу,udgående,zewnętrzny,vers l'extérieur,exterior,nach außen,向外,dışa doğru,خارج,बाहर
2934,dido,44,dido,仲間の,dido,하잘것 없는 물건,диду,Dido.,Dido.,dido,travesura,dido.,迪托,dido,ديدو,शरारत
2935,retaliate,44,retali,レタリート,retaliar,보복,отомстить,Gentalere,zemścić się,user de représailles,tomar represalias,Retaliate,报复,misilleme yapmak,الرد بالمثل,प्रतिकार करना
2936,zouave,44,zouav,Zouave.,zouave.,Zouave.,zouave.,Zouave.,żuav,zouave,zouave,Zouave.,Zouave.,zouave,zouave,ज़ौव
2937,comrade,44,comrad,同志,camarada,동료,товарищ,kammerat,towarzysz,camarade,camarada,Genosse,同志,yoldaş,الرفيق,साथी
2938,detrimental,44,detriment,有害な,prejudicial,해로운,несущественный,Devrimental.,szkodliwy,préjudiciable,perjudicial,schädlich,有害的,zararlı,ضار,हानिकारक
2939,comprehend,44,comprehend,包括的な,compreender,이해력,постигать,forstå,zrozumieć,comprendre,comprender,begreifen,理解,kavramak,فهم,समझ
2940,crappy,44,crappi,cr然,porcaria,지겨운,дерьмовый,dårlig,gniazdo,merdique,de mierda,beschissen,蹩脚,berbat,سيء الجودة,गंदे
2941,defer,44,defer,遅れる,adiar,지연,отложить,udsætte,odraczać,reporter,aplazar,verschieben,推迟,ertelemek,تأجيل,आस्थगित करें
2942,blossom,44,blossom,花,Flor,꽃,цвести,blomst,kwitnąć,fleur,florecer,Blüte,开花,çiçek açması,زهر,खिलना
2943,dandelion,44,dandelion,タンポポ,dandelion,민들레,одуванчик,mælkebøtte,mniszek lekarski,pissenlit,diente de león,Löwenzahn,蒲公英,karahindiba,الهندباء,dandelion
2944,mistress,44,mistress,愛人,amante,정부,госпожа,Mistress.,kochanka,maîtresse,amante,Herrin,情妇,metres,عشيقة,स्वामिनी
2945,flock,44,flock,群れ,rebanho,대군,стадо,flock.,trzoda,troupeau,rebaño,Herde,群,akın etmek,قطيع,झुंड
2946,headphones,44,headphon,ヘッドフォン,fones de ouvido,헤드폰,наушники,hovedtelefoner,słuchawki,écouteurs,auriculares,Kopfhörer,耳机,kulaklıklar,سماعات الرأس,हेडफोन
2947,goats,44,goat,山羊,cabras.,염소,козы,geder.,kozy.,chèvres,cabras,Ziegen,山羊,keçi,الماعز,बकरियों
2948,trader,44,trader,トレーダー,comerciante,상인,трейдер,Trader.,handlowiec,Commerçant,comerciante,Händler,商人,tüccar,تاجر,व्यापारी
2949,aldehyde,44,aldehyd,アルデヒド,aldeído,알데히드,альдегид,aldehyd.,aldehyd.,aldéhyde,aldehído,Aldehyd,醛,aldehit,الدهيد.,Aldehyde
2950,phospho,44,phospho,ホスポ,fósfo,포스 포,фосфо,phospho.,fosfo.,phospho,fosfo,Phospho,磷,fosfor,الفوسفو,फास्फो
2951,pyrroline,44,pyrrolin,ピロリン,Pirrolina,피 롤린,пирролин,pyrroline.,piroline.,pyrroline,pirrolina,Pyrrolin,吡咯啉,pirolin,البيرولين,पाइरोलिन
2952,hydrolase,44,hydrolas,ヒドロラーゼ,Hydrolase.,가수 분해 효소,гидролазу,Hydrolase.,hydrolaza.,hydrolase,hidrolasa,Hydrolase,水解酶,hidrolaz,هيدرولياس,हाइड्रोलाज
2953,imprint,44,imprint,刻む,imprimir,날인,отпечаток,aftryk,odcisk,imprimer,imprimir,Impressum,印迹,bastırmak,بصمة,छाप
2954,sliced,44,slice,スライスされた,fatiado,슬라이스,нарезанный,skåret,pokrojony,tranché,rebanado,geschnitten,切片,dilimlenmiş,مقطع إلى شرائح,कटा हुआ
2955,laced,44,lace,l l,atado,엮여서,прошедший,laced.,sznurowany,lacé,atado,geschnürt,系带,bağcıklı,ذو أربطة,सजी
2956,carat,44,carat,カラット,quilate,캐럿,карат,karat.,karat,carat,quilate,Karat,克拉,karat,قيراط,कैरट
2957,parole,44,parol,par par,liberdade condicional,맹세,досрочное освобождение,prøveløsladelse,zwolnienie warunkowe,parole,libertad condicional,Parole,言语,şartlı tahliye,الإفراج المشروط,पेरोल
2958,crowder,44,crowder,crow crow,multidão,고리,толстушка,crowder.,crowder.,abrider,codazo,Kräfte,肮脏,kalabalık,مكبر,क्राउडर
2959,sorority,44,soror,悪魔,Sorority.,Sorority.,соронить,sorority.,sorority,sororité,Hermandad de mujeres,Sororität,姐妹,kardeşlik,نادي نادي,औरतों का संग्रह
2960,hobbies,44,hobbi,趣味,hobbies,취미,увлечения,hobbyer.,Zainteresowania,passe-temps,aficiones,Hobbys,爱好,Hobiler,هوايات,शौक
2961,concession,44,concess,租界,concessão,양보,уступка,koncession,koncesja,Concession,concesión,Konzession,让步,taviz,تنازل,छूट
2962,ancestor,44,ancestor,祖先,antepassado,선조,предка,forfader,przodek,ancêtre,antepasado,Vorfahr,祖先,Ata,سلف,पूर्वज
2963,siblings,44,sibl,兄弟,irmãos,형제 자매,братья и сестры,søskende,rodzeństwo,frères et sœurs,hermanos,Geschwister,兄弟姐妹,Kardeşler,أخوة,सहोदर
2964,teamwork,44,teamwork,チームワーク,trabalho em equipe,팀워크,работа в команде,samarbejde,Praca zespołowa,travail en équipe,trabajo en equipo,Zusammenarbeit,团队合作,takım çalışması,العمل بروح الفريق الواحد,टीम वर्क
2965,mem,44,mem,omm.,mem.,밈,мемлес,Mem.,mem.,mem,MEM,Meme,MEM.,memek,مادن,मेम
2966,greyhound,44,greyhound,グレイハウンド,Galgo,그레이하운드,борзейт,Greyhound.,chart,levrette,galgo,Windhund,灰狗,tazı,السلوقي كلب الصيد,खरहे का शिकर करनेवाला कुत्ता
2967,sindhi,44,sindhi,シンディ,Sindi.,Sindhi.,Sindhi.,Sindhi.,sindhi.,Sindhi,sindhi,Sindhi.,Sindhi.,Sindhi,السندهي,सिंधी
2968,masked,44,mask,マスクされた,mascarado,마스킹,замаскированный,maskeret,zamaskowany,masqué,enmascarado,maskiert,蒙面,maskeli,ملثمين,छिपा हुआ
2969,agitation,44,agit,攪拌,agitação,동요,агитация,agitation,podniecenie,agitation,agitación,Agitation,搅动,çalkalama,التحريض,घबराहट
2970,mallet,44,mallet,マレット,malho,망치,маллет,Mallet.,drewniany młotek,maillet,mazo,Hammer,槌,pallet,مطرقة,लकड़ी का हथौड़ा
2971,westinghouse,44,westinghous,ウェスティングハウス,Westinghouse,웨스팅 하우스,Westinghouse,Westinghouse.,Westinghouse.,westinghouse,Westinghouse,Westinghouse,西屋,batı evi,Westinghouse.,वेस्टिंगहाउस
2972,undertaking,44,undertak,手綱,empresa,사업,предпринимать,tilsagn,przedsiębiorstwo,entreprise,empresa,Unternehmen,承诺,taahhüt,تعهد,उपक्रम
2973,airman,44,airman,エアマン,aviador,비행사,артикул,Airman.,lotnik,aviateur,aviador,Flieger,空军,havacı,طيار,विमान-चालक
2974,goldeneye,44,goldeney,ゴールネエ,Goldeneye.,금색 눈,Золотой глаз,goldeneye.,złote Oko,oeil doré,ojo dorado,goldenes Auge,黄金眼,altın Göz,العين الذهبية,स्वर्णीय नेत्र
2975,magnolia,44,magnolia,マグノリア,magnólia,목련,магнолия,Magnolia.,magnolia,magnolia,magnolia,Magnolie,玉兰,manolya,ماغنوليا,मैगनोलिया
2976,peril,44,peril,危険,perigo,위험,опасность,fare.,niebezpieczeństwo,péril,peligro,Tücke,危险,terketmek,خطر,जोखिम
2977,ursa,44,ursa,ウルサ,ursa.,ursa.,урса,URSA.,Ursa.,ursa,URSA,Ursa.,Ursa.,ursa,أورسا,उर्सा
2978,metropolis,44,metropoli,大都市,metrópole,중심지,метрополис,Metropolis,metropolia,métropole,metrópoli,Metropole,都会,metropol,متروبوليس,राजधानी
2979,siena,44,siena,シエナ,Siena.,시에 나,Сиена,Siena.,siena.,Sienne,siena,Siena,锡耶纳,Siena,سيينا,सिएना
2980,taller,44,taller,より高い,mais alto,키가 크다,уполномоченный,højere,wyższy,plus grand,más alto,höher,更高的,daha uzun,أطول,लम्बे
2981,fireplace,44,fireplac,暖炉,lareira,난로,камин,ildsted,kominek,cheminée,hogar,Kamin,壁炉,şömine,المدفأة,चिमनी
2982,torrent,44,torrent,急行する,torrente,급류,торрент,torrent.,potok,torrent,torrente,torrent,激流,torrent,سيل,धार
2983,gid,44,gid,g,gid.,GID.,ток,gid.,kołowacizna,gidon,gig,GID.,盖,gıda,جند,गिड
2984,kensington,44,kensington,ケンジントン,Kensington,켄싱턴,Кенсингтон,Kensington.,Kensington.,kensington,Kensington,Kensington.,肯辛顿,KENSINGTON,كينسينغتون,केंसिंगटन
2985,cong,44,cong,con,cong.,colg.,коврик,CONG.,cong.,cong,cong,Kessel,con,cong,نتوء,कांग्रेस
2986,charitable,44,charit,慈善団体,caridade,자비로운,благотворительный,Charitable.,charytatywny,charitable,Caritativo,wohltätig,慈善,yardımsever,خير,दानशील
2987,onus,44,onu,責任,ônus,무거운 짐,anus.,onus,odpowiedzialność,fardeau,carga,Last,onus.,ocak,إزاحة,भार
2988,convincingly,44,convincingli,納得裏に,convincentemente,설득력있게,убедительно,overbevisende,przekonujący,de manière convaincante,convincentemente,überzeugend,令人信服地,inandırıcı bir şekilde,بشكل مقنع,आसानी से
2989,doubters,44,doubter,疑念,Dúvidas,의심스러운 사람,сомнения,tvivler.,wątpliwości,doubiliser,dudoso,Zweifel,怀疑,doubters,Doubters.,संदेह करने वालों को
2990,uninformed,44,uninform,un un,desinformado,정보가 표시되지 않았습니다,Uninformed,uinformeret,niedoinformowany,non informé,no informado,nicht informiert,不知情,bilgisiz,غير مطلع,बेख़बर
2991,incentive,44,incent,インセンティブ,incentivo,자극,стимул,tilskyndelse,bodziec,incitation,incentivo,Anreiz,激励,teşvik,حافز,प्रोत्साहन
2992,aint,44,aint,a,não,아프다,inint.,Aint.,aint.,ne pas,ano,as,int,alıntı,ليس,नहीं है
2993,scrum,44,scrum,スクラム,scrum.,스크럼,схватка,Scrum.,scrum.,scrum,melé,Gedränge,克鲁姆,scrum,سكروم,जमघट
2994,tiffin,44,tiffin,ティフィン,tiffin.,점심,Tiffin.,tiffin.,Tiffin.,repas de midi,tiffin,Tiffin,蒂芙,tiffin,تيفين,टिफिन
2995,blume,44,blume,bl,Blume.,블루메,придурок,Blume.,Blume.,blume,marea,blume.,布拉姆,blume,بلاء,ब्लूम
2996,briton,44,briton,イギリス,britânico,영국인,британец,Brit.,Brytyjczyk,Britannique,británico,Brite,英国人,İngiltere,بريطاني,अंग्रेज़
2997,hotchkiss,44,hotchkiss,hotchkiss.,Hotchkiss,핫키스스,Hotchkiss.,Hotchkiss.,hotchkiss.,hotchkiss,hotchkiss,Hotchkiss,Hotchkiss.,hotchkiss,hotchkiss.,हॉचकिस
2998,yum,44,yum,y,yum.,얌이다,yum.,yum.,yum.,Miam,ñame,yum.,百胜,yudum,yum.,यम
2999,superheroes,44,superhero,スーパーヒーロー,Super-heróis,슈퍼 히어로,супергерои,superheroes.,superbohaterowie.,super-héros,superhéroes,Superhelden,超级英雄,süper kahramanlar,ابطال خارقين,सुपरहीरो
3000,gelatin,44,gelatin,ゼラチン,gelatina,젤라틴,желатин,gelatin.,żelatyna,Gélatine,gelatina,Gelatine,明胶,Jelatin,الجيلاتين,जेलाटीन
3001,markedly,44,markedli,際に,marcadamente,현저하게,заметно,markant.,znacznie,nettement,marcadamente,merklich,明显,belirgin şekilde,بشكل ملحوظ,स्पष्ट रूप से
3002,needlessly,44,needlessli,無駄に,desnecessariamente,불필요하게,ненужно,unødvendigt,niepotrzebnie,inutilement,innecesariamente,unnötigerweise,不必要地,gereksizce,وغني,बेकार में
3003,toolbox,44,toolbox,ツールボックス,Caixa de ferramentas,공구 상자,ящик для инструментов,Værktøjskasse,Przybornik,boîte à outils,caja de herramientas,Werkzeugkasten,工具箱,araç kutusu,Toolbox.,उपकरण बॉक्स
3004,maha,44,maha,マハ,maha.,마하,Маха,maha.,Maha.,maha,maha,Maha,玛哈,Maha,مها,महा
3005,bourbon,44,bourbon,バーボン,bourbon,버번,бурбон,Bourbon.,Burbon,Bourbon,Borbón,Bourbon,波旁酒,Burbon,بوربون,बर्बन
3006,methicillin,44,methicillin,メチシリン,meticilina,메티 실린,метициллин,methicillin.,metycylina,méthicilline,metillina,Methicillin.,Methicililin.,metisilin,الميثيسيلين,मेथिसिल्लिन
3007,poppy,44,poppi,ポピー,papoula,양귀비,мак,valmy,MAK,coquelicot,amapola,Mohn,罂粟,Haşhaş,شقائق النعمان,पोस्ता
3008,knob,44,knob,つまみ,botão,손잡이,ручка,knop,pokrętło,bouton,mando,Knopf,旋钮,topuz,مقبض الباب,दस्ता
3009,stylized,44,styliz,様式化された,estilizado,양식화 된,стилизованный,stiliseret,stylizowany,stylisé,estilizado,stilisiert,程式化,stilize,منطبق,शैलीकृत
3010,disgruntled,44,disgruntl,凹ました,desapontado,불명예 스럽다,озвучивать,utilfredsstillende,niezadowolony,mécontent,descontento,verärgert,失情,hoşnutsuz,ناجط,असंतुष्ट
3011,indiscriminately,44,indiscrimin,無差別に,indiscriminadamente,무차별로,безразлично,indiskriminately.,niezadowolony,indistinctement,indiscriminadamente,wahllos,不分青红皂白地,ayrımsız olarak,بشكل عشوائي,अंधाधुंध
3012,elisha,44,elisha,エリシャ,elisha.,엘리사,элиша,Elisha.,Elisha.,Élisha,elíseo,Elisha.,Elisha.,elisha,إليشا,एलीशा
3013,precincts,44,precinct,境約え,recintos,경계,участки,forskelle,okolice miasta,en précision,alrededores,Bezirk,区域,kısmet,الدوافع,अड़ोस-पड़ोस
3014,grun,44,grun,gr,gruno,Grun.,грун,Grun.,grun,grun,grun,Grun,gr,şaka,غون,grün
3015,patrice,44,patric,pat pat,patrico,팻레사스,патриция,PATRICE.,Patrice.,patrice,Patrice,Patrice,帕特里斯,yüceltmek,باتريس,पैट्रिस
3016,huntley,44,huntley,ハントリー,Huntley.,헌트리,хенлина,Huntley.,huntley.,huntley,huntley,Huntley.,亨特利,Huntley,هنتلي,हंटले
