ID,FRENCH,ENGLISH,THEME,IMPORTANT
1827,des blessures,injuries,guerre et paix,
1828,des bombes guidées,guided bombs,guerre et paix,
1829,des conséquences,consequences,guerre et paix,
1830,des forces armées,armed forces,guerre et paix,
1831,des forces ennemies,enemy forces,guerre et paix,
1832,des mines,land mines,guerre et paix,
1833,des munitions,ammunition,guerre et paix,
1834,des négociations,of negotiations,guerre et paix,
1835,des ogives,warheads,guerre et paix,
1836,des représailles,retaliation,guerre et paix,
1837,des sanctions,of penalties,guerre et paix,
1838,du gaz moutarde,mustard gas,guerre et paix,
1839,du napalm,napalm,guerre et paix,
1840,du sang,blood,guerre et paix,
1841,en temps de paix,in peacetime,guerre et paix,
1842,envahir,invade,guerre et paix,
1843,fatal,fatal,guerre et paix,
1844,féroce,ferocious/ fierce,guerre et paix,
1845,furtif,furtive,guerre et paix,
1846,héroïque,heroic,guerre et paix,
1847,héroïsme,heroism,guerre et paix,
1848,humanitaire,humanitarian,guerre et paix,
1849,impitoyable,ruthless,guerre et paix,
1850,inévitable,unavoidable / inevitable,guerre et paix,
1851,instructions,instructions,guerre et paix,
1852,intense,intense,guerre et paix,
1853,l’anarchie,anarchy,guerre et paix,
1854,l’annihilation,annihilation,guerre et paix,
1855,l’apaisement,appeasement,guerre et paix,
1856,l’armée de l’air,air force,guerre et paix,
1857,l’armement,armament,guerre et paix,
1858,l’armistice,the armistice,guerre et paix,
1859,l’artillerie,artillery,guerre et paix,
1860,l’autorité,authority,guerre et paix,
1861,l’avant-garde,vanguard,guerre et paix,
1862,l’éducation,education,guerre et paix,
1863,l’élite,the elite,guerre et paix,
1864,l’endurance,endurance,guerre et paix,
1865,l’ennemi,the enemy,guerre et paix,
1866,l’épave,the wreckage,guerre et paix,
1867,l’équilibre,the balance,guerre et paix,
1868,l’escalade,escalation,guerre et paix,
1869,l’état-major,the general staff,guerre et paix,
1870,l’harmonie,harmony,guerre et paix,
1871,l’hostilité,hostility,guerre et paix,
1872,l’infanterie,infantry,guerre et paix,
1873,l’issue,the outcome,guerre et paix,
1874,l’usure,attrition,guerre et paix,
1875,la cavalerie,the cavalry,guerre et paix,
1876,la concentration,concentration,guerre et paix,
1877,la convention de genève,the geneva convention,guerre et paix,
1878,la course à l’armement,the arms race,guerre et paix,
1879,la démilitarisation,demilitarization,guerre et paix,
1880,la démoralisation,demoralization,guerre et paix,
1881,la désertion,desertion,guerre et paix,
1882,la destruction,destruction,guerre et paix,
1883,la dévastation,the devastation,guerre et paix,
1884,la diplomatie,diplomacy,guerre et paix,
1885,la dissuasion nucléaire,nuclear deterrence,guerre et paix,
1886,la fidélité/ la loyauté,loyalty,guerre et paix,
1887,la flotte,the fleet,guerre et paix,
1888,la fraternité,fraternity,guerre et paix,
1889,la furtivité,the stealth,guerre et paix,
1890,la guerre des tranchées,a trench warfare,guerre et paix,
1891,la haine,hatred,guerre et paix,
1892,la libération,the liberation,guerre et paix,
1893,la ligne de front,the front line,guerre et paix,
1894,la marine,the navy,guerre et paix,
1895,la médiation,mediation,guerre et paix,
1896,la mégalomanie,megalomania,guerre et paix,
1897,la neutralité,neutrality,guerre et paix,
1898,la paix,peace,guerre et paix,
1899,la propagande,propaganda,guerre et paix,
1900,la radioactivité,radioactivity,guerre et paix,
1901,la rage,the rage,guerre et paix,
1902,la ratification,ratification,guerre et paix,
1903,la résistance,the resistance,guerre et paix,
1904,la sécurité,the security,guerre et paix,
1905,la sérénité,the serenity,guerre et paix,
1906,la solidarité,the solidarity,guerre et paix,
1907,la souffrance,the suffering,guerre et paix,
1908,la stabilité,stability,guerre et paix,
1909,la stratégie,the strategy,guerre et paix,
1910,la suppression,the suppression,guerre et paix,
1911,la survie,the survival,guerre et paix,
1912,la tension,the tension,guerre et paix,
1913,la tenue de combat,battle dress,guerre et paix,
1914,la valeur,the valor,guerre et paix,
1915,la vérité,the truth,guerre et paix,
1916,la victoire,the victory,guerre et paix,
1917,la violation,the violation,guerre et paix,
1918,la violence,the violence,guerre et paix,
1919,le blindage,armouring,guerre et paix,
1920,le chaos,chaos,guerre et paix,
1921,le chaos/ le carnage,mayhem,guerre et paix,
1922,le colonel,the colonel,guerre et paix,
1923,le combat aérien,air-fighting,guerre et paix,
1924,le commandant,the commander,guerre et paix,
1925,le début de la guerre,the outbreak of the war,guerre et paix,
1926,le désarmement,the disarmament,guerre et paix,
1927,le maintien de la paix,peacekeeping,guerre et paix,
1928,le massacre,the slaughter,guerre et paix,
1929,le pacifisme,pacifism,guerre et paix,
1930,le pardon,forgiveness,guerre et paix,
1931,le patriotisme,patriotism,guerre et paix,
1932,le service militaire,the military service,guerre et paix,
1933,le terrain,the terrain,guerre et paix,
1934,le treillis,fatigues,guerre et paix,
1935,les ambulanciers,the paramedics,guerre et paix,
1936,les attentes,expectations,guerre et paix,
1937,les dommages collatéraux,collateral damage,guerre et paix,
1938,les enjeux,the stakes,guerre et paix,
1939,les forces alliées,allied forces,guerre et paix,
1940,les lignes ennemies,the enemy line,guerre et paix,
1941,les pertes,the losses,guerre et paix,
1942,les préparatifs,preparations,guerre et paix,
1943,les troupes,the troops,guerre et paix,
1944,militaire,military,guerre et paix,
1945,mortel/ meurtrier,deadly,guerre et paix,
1946,négociations de paix,peace negotiations,guerre et paix,
1947,non conventionnel,unconventional,guerre et paix,
1948,pacifier,pacify,guerre et paix,
1949,porté disparu,missing in action,guerre et paix,
1950,préemptive/ préemptif,preemptive,guerre et paix,
1951,prémédité,premeditated,guerre et paix,
1952,radical,radical,guerre et paix,
1953,rendre hommage,pay tribute,guerre et paix,
1954,sans peur,fearless,guerre et paix,
1955,stratégique,strategic,guerre et paix,
1956,tactique,tactical,guerre et paix,
1957,tragique,tragic,guerre et paix,
1958,traumatisé,shell-shocked,guerre et paix,
1959,tué au combat,killed in action,guerre et paix,
1960,un accord,an agreement,guerre et paix,
1961,un accord de paix,a peace accord,guerre et paix,
1962,un affrontement,a confrontation,guerre et paix,
1963,un agitateur,an agitator,guerre et paix,
1964,un agresseur,an aggressor,guerre et paix,
1965,un allié,an ally,guerre et paix,
1966,un ambassadeur,an ambassador,guerre et paix,
1967,un arsenal,an arsenal,guerre et paix,
1968,un artilleur,a gunner,guerre et paix,
1969,un avion de guerre,a warplane,guerre et paix,
1970,un barrage,a barrage,guerre et paix,
1971,un bataillon,a battalion,guerre et paix,
1972,un belligérant,a belligerent,guerre et paix,
1973,un béret vert,a green beret,guerre et paix,
1974,un blocus,a blockade,guerre et paix,
1975,un bombardement,a bombardment,guerre et paix,
1976,un bombardier furtif,a stealth bomber,guerre et paix,
1977,un bunker,a bunker,guerre et paix,
1978,un cadavre,a cadaver/ a corpse,guerre et paix,
1979,un canon,a cannon,guerre et paix,
1980,un carnage,a carnage,guerre et paix,
1981,un casque,a helmet,guerre et paix,
1982,un cataclysme,a cataclysm,guerre et paix,
1983,un cessez-le-feu,a ceasefire,guerre et paix,
1984,un champ de bataille,a battlefield,guerre et paix,
1985,un chef,a chief,guerre et paix,
1986,un choc,a shock,guerre et paix,
1987,un civil,a civilian,guerre et paix,
1988,un clandestin,a clandestine,guerre et paix,
1989,un combat,a combat,guerre et paix,
1990,un combattant,a fighter,guerre et paix,
1991,un commando,a commando,guerre et paix,
1992,un conflit,a conflict,guerre et paix,
1993,un convoi,a convoy,guerre et paix,
1994,un coup de feu,a shot,guerre et paix,
1995,un couvre-feu,a curfew,guerre et paix,
1996,un cuirassé,a battleship,guerre et paix,
1997,un danger/ un risque,a hazard,guerre et paix,
1998,un débarquement,a landing,guerre et paix,
1999,un déclencheur,a trigger,guerre et paix,
2000,un désarroi,a disarray,guerre et paix,
2001,un despote,a despot,guerre et paix,
2002,un dictateur,a dictator,guerre et paix,
2003,un dispositif,a device,guerre et paix,
2004,un drapeau blanc,a white flag,guerre et paix,
2005,un drone,a drone,guerre et paix,
2006,un éclaireur,a scout,guerre et paix,
2007,un éclat d’obus,a piece of shrapnel,guerre et paix,
2008,un embargo,an embargo,guerre et paix,
2009,un évacué,an evacuee,guerre et paix,
2010,un excès,an excess,guerre et paix,
2011,un fanatique,a fanatic,guerre et paix,
2012,un fantassin,a foot soldier,guerre et paix,
2013,un fusil,a rifle,guerre et paix,
2014,un fusil à pompe,a shotgun,guerre et paix,
2015,un fusil d’assaut,an assault rifle,guerre et paix,
2016,un gendarme,an officer,guerre et paix,
2017,un gouvernement,a government,guerre et paix,
2018,un grade,one grade,guerre et paix,
2019,un guerrier,a warrior,guerre et paix,
2020,un hélicoptère,a chopper/ a helicopter,guerre et paix,
2021,un hélicoptère de combat,a gunship,guerre et paix,
2022,un holocauste,a holocaust,guerre et paix,
2023,un incident,an incident,guerre et paix,
2024,un informateur,an informant,guerre et paix,
2025,un insurgé,an insurgent,guerre et paix,
2026,un kamikaze,a suicide bomber,guerre et paix,
2027,un lance-roquettes,a rocket-launcher,guerre et paix,
2028,un militant,a militant,guerre et paix,
2029,un missile,a missile,guerre et paix,
2030,un mortier,a mortar,guerre et paix,
2031,un mousquet,a musket,guerre et paix,
2032,un nationaliste,a nationalist,guerre et paix,
2033,un navire de guerre,a warship,guerre et paix,
2034,un obus,a shell,guerre et paix,
2035,un ordre,an order,guerre et paix,
2036,un pacte,a pact,guerre et paix,
2037,un parachutiste,a paratrooper,guerre et paix,
2038,un partisan,a partisan,guerre et paix,
2039,un peloton,a platoon,guerre et paix,
2040,un piège,a trap,guerre et paix,
2041,un pilote,a pilot,guerre et paix,
2042,un pilote de chasse,a fighter pilot,guerre et paix,
2043,un porte-avion,an aircraft carrier,guerre et paix,
2044,un porte-parole,a spokesman,guerre et paix,
2045,un projectile,a projectile,guerre et paix,
2046,un raid aérien,an air raid,guerre et paix,
2047,un rameau d’olivier,an olive branch,guerre et paix,
2048,un rebelle,a rebel,guerre et paix,
2049,un recrutement,a recruitment,guerre et paix,
2050,un réfugié,a refugee,guerre et paix,
2051,un refus,a decline,guerre et paix,
2052,un régiment,a regiment,guerre et paix,
2053,un réserviste,a reservist,guerre et paix,
2054,un réservoir,a tank,guerre et paix,
2055,un revolver,a revolver,guerre et paix,
2056,un rival,a rival,guerre et paix,
2057,un sabotage,a sabotage,guerre et paix,
2058,un sacrifice,a sacrifice,guerre et paix,
2059,un samouraï,a samurai,guerre et paix,
2060,un sauvetage,a rescue,guerre et paix,
2061,un sergent,a sergeant,guerre et paix,
2062,un siège,a siege,guerre et paix,
2063,un soldat,a soldier,guerre et paix,
2064,un soulèvement,an uprising,guerre et paix,
2065,un sous-marin,a submarine,guerre et paix,
2066,un stratège,a strategist,guerre et paix,
2067,un survivant,a survivor,guerre et paix,
2068,un traité,a treaty,guerre et paix,
2069,un traité de paix,a peace treaty,guerre et paix,
2070,un transporteur,a carrier,guerre et paix,
2071,un traumatisme,a trauma,guerre et paix,
2072,un véhicule,a vehicle,guerre et paix,
2073,un vétéran,a veteran,guerre et paix,
2074,un volontaire,a volunteer,guerre et paix,
2075,une alerte,an alert,guerre et paix,
2076,une application,an enforcement,guerre et paix,
2077,une arme à feu,a fire arm,guerre et paix,
2078,une arme biologique,a biological weapon,guerre et paix,
2079,une arme chimique,a chemical weapons,guerre et paix,
2080,une armurerie,an armoury,guerre et paix,
2081,une baïonnette,a bayonet,guerre et paix,
2082,une balle,a bullet,guerre et paix,
2083,une barricade,a barricade,guerre et paix,
2084,une bataille,a battle,guerre et paix,
2085,une caches d’armes,arms caches,guerre et paix,
2086,une campagne,a campaign,guerre et paix,
2087,une carabine,a carbine,guerre et paix,
2088,une catapulte,a catapult,guerre et paix,
2089,une chute,a downfall,guerre et paix,
2090,une cible,a target,guerre et paix,
2091,une coalition,a coalition,guerre et paix,
2092,une conflagration,a conflagration,guerre et paix,
2093,une confusion,a confusion,guerre et paix,
2094,une conquête,a conquest,guerre et paix,
2095,une contre-offensive,a counteroffensive,guerre et paix,
2096,une crise,a crisis,guerre et paix,
2097,une crise diplomatique,a diplomatic crisis,guerre et paix,
2098,une croisade,a crusade,guerre et paix,
2099,une croix rouge,a red cross,guerre et paix,
2100,une débâcle,a debacle,guerre et paix,
2101,une défaite,a defeat,guerre et paix,
2102,une dissonance,a dissonance,guerre et paix,
2103,une doctrine,a doctrine,guerre et paix,
2104,une embuscade,an ambush,guerre et paix,
2105,une épée,a sword,guerre et paix,
2106,une escadrille,a squadron,guerre et paix,
2107,une escarmouche,a skirmish,guerre et paix,
2108,une escouade,a squad/ a squadron,guerre et paix,
2109,une exécution,an execution,guerre et paix,
2110,une exploitation,an exploitation,guerre et paix,
2111,une faction,a faction,guerre et paix,
2112,une fortification,a fortification,guerre et paix,
2113,une frappe aérienne,an air strike,guerre et paix,
2114,une fusillade,a fusillade,guerre et paix,
2115,une garnison,a garrison,guerre et paix,
2116,une grenade,a grenade,guerre et paix,
2117,une grenade à main,a hand grenade,guerre et paix,
2118,une guérilla,guerrilla warfare,guerre et paix,
2119,une guerre chimique,a chemical warfare,guerre et paix,
2120,une guerre civile,a civil war,guerre et paix,
2121,une guerre mondiale,a world war,guerre et paix,
2122,une impasse,a deadlock,guerre et paix,
2123,une insurrection,an insurrection,guerre et paix,
2124,une interdiction,an interdiction,guerre et paix,
2125,une invasion,an invasion,guerre et paix,
2126,une maladie,a disease,guerre et paix,
2127,une manœuvre,a move / a maneuvre,guerre et paix,
2128,une menace,a threat,guerre et paix,
2129,une milice,a militia,guerre et paix,
2130,une mitrailleuse,a machine gun,guerre et paix,
2131,une mobilisation,a mobilization,guerre et paix,
2132,une offensive,an offensive,guerre et paix,
2133,une ogive nucléaire,a nuclear warhead,guerre et paix,
2134,une opération,an operation,guerre et paix,
2135,une opération au sol,a ground operation,guerre et paix,
2136,une parade,a parade,guerre et paix,
2137,une querelle,a quarrel,guerre et paix,
2138,une rançon,a ransom,guerre et paix,
2139,une ration militaire,a military ration,guerre et paix,
2140,une rébellion,a rebellion,guerre et paix,
2141,une réconciliation,a reconciliation,guerre et paix,
2142,une reconnaissance,a reconnaissance,guerre et paix,
2143,une réforme,a reform,guerre et paix,
2144,une réparation,reparation,guerre et paix,
2145,une reprise,a recovery,guerre et paix,
2146,une réputation,a reputation,guerre et paix,
2147,une rétribution,a retribution,guerre et paix,
2148,une révolution,a revolution,guerre et paix,
2149,une sécession,one secession,guerre et paix,
2150,une sédition,a sedition,guerre et paix,
2151,une tombe,a grave,guerre et paix,
2152,une torpille,a torpedo,guerre et paix,
2153,une tranchée,a trench,guerre et paix,
2154,une trêve,a truce,guerre et paix,
2155,une tuerie/ un massacre,a massacre,guerre et paix,
2156,une unité,a unit,guerre et paix,
2157,une urgence,an urgency,guerre et paix,
2158,une vengeance,a revenge,guerre et paix,
2159,une zone,a zone,guerre et paix,
2160,une zone de conflit,a conflict zone,guerre et paix,
2161,vital/ indispensable,vital,guerre et paix,
2162,viser,to aim,guerre et paix,
2163,annuler/ résilier,to call off,guerre et paix,
2164,avoir peur,to fear,guerre et paix,
2165,brûler,to burn,guerre et paix,
2166,cacher,to hide,guerre et paix,
2167,capturer,to capture,guerre et paix,
2168,combattre/ se battre,to fight,guerre et paix,
2169,conquérir,to conquer,guerre et paix,
2170,consolider,to consolidate,guerre et paix,
2171,contacter,to contact,guerre et paix,
2172,contaminer,to contaminate,guerre et paix,
2173,contre-attaquer,to counter attack,guerre et paix,
2174,contrecarrer,to thwart/ to counteract,guerre et paix,
2175,contrôler,to control,guerre et paix,
2176,coordonner,to coordinate,guerre et paix,
2177,couler un navire,to sink a ship,guerre et paix,
2178,unifier,to unify,guerre et paix,
2179,demander des renforts,to send for backup,guerre et paix,
2180,démanteler/ démonter,to dismantle,guerre et paix,
2181,démolir,to demolish,guerre et paix,
2182,déployer,to deploy,guerre et paix,
2183,désamorcer,to defuse,guerre et paix,
2184,détester,to hate,guerre et paix,
2185,détruire,to destroy,guerre et paix,
2186,disparaître,to vanish,guerre et paix,
2187,dissuader,to deter,guerre et paix,
2188,dominer,to dominate,guerre et paix,
2189,éclater,to burst,guerre et paix,
2190,enterrer,to bury,guerre et paix,
2191,éponger,to mop up,guerre et paix,
2192,être bon pour le service,to be fit for service,guerre et paix,
2193,être réformé,to be declared unfit,guerre et paix,
2194,évacuer,to evacuate,guerre et paix,
2195,faire la paix,to make peace,guerre et paix,
2196,flanquer,to flank,guerre et paix,
2197,harceler,to harass,guerre et paix,
2198,hospitaliser,to hospitalize,guerre et paix,
2199,improviser,to improvise,guerre et paix,
2200,inciter,to incite,guerre et paix,
2201,infiltrer,to infiltrate,guerre et paix,
2202,intensifier,to step up,guerre et paix,
2203,intercepter,to intercept,guerre et paix,
2204,intervenir,to intervene,guerre et paix,
2205,intimider,to intimidate,guerre et paix,
2206,joindre,to join,guerre et paix,
2207,lancer une offensive,to launch an offensive,guerre et paix,
2208,lutter,to struggle,guerre et paix,
2209,maintenir la paix,to keep peace,guerre et paix,
2210,persécuter,to persecute,guerre et paix,
2211,provoquer une crise,to provoke a crisis,guerre et paix,
2212,pulvériser,to pulverize,guerre et paix,
2213,ravager,to ravage,guerre et paix,
2214,régner,to rule,guerre et paix,
2215,renverser,to overthrow,guerre et paix,
2216,réprimer,to crack down,guerre et paix,
2217,s’effondrer,to collapse,guerre et paix,
2218,saisir/ s’emparer de,to seize,guerre et paix,
2219,se baisser/ esquiver,to duck,guerre et paix,
2220,se disperser,to disperse,guerre et paix,
2221,se rallier,to rally,guerre et paix,
2222,se regrouper,to regroup,guerre et paix,
2223,se retirer/ reculer,to pull back,guerre et paix,
2224,se rétracter/ se retirer,to withdraw,guerre et paix,
2225,signer un traité,to sign a treaty,guerre et paix,
2226,tirer/ faire feu,to fire,guerre et paix,
2227,trahir,to betray,guerre et paix,
2228,transgresser/ violer,to breach,guerre et paix,
2229,triompher,to triumph,guerre et paix,
2230,alexandre le grand,alexander the great,guerre et paix,
2231,archéologique,archaeological,histoire passe,
2232,attila le hun,attila the hun,histoire passe,
2233,biblique,biblical,histoire passe,
2234,celtique,celtic,histoire passe,
2235,colonial,colonial,histoire passe,
2236,épique,epic,histoire passe,
2237,funéraire,funerary,histoire passe,
2238,illustré,illustrated,histoire passe,
2239,intellectuel,intellectual,histoire passe,
2240,littéraire,literary,histoire passe,
2241,médiéval,medieval,histoire passe,
2242,mythique,mythical,histoire passe,
2243,naval,naval,histoire passe,
2244,nomade,nomadic,histoire passe,
2245,réel/ authentique,real/ genuine,histoire passe,
2246,l’avènement,the advent,histoire passe,
2247,l’aventure,the adventure,histoire passe,
2248,l’amphithéâtre,the amphitheater,histoire passe,
2249,l’amphore,the amphora,histoire passe,
2250,l’ancêtre,the ancestor,histoire passe,
2251,l’anthropologie,the anthropology,histoire passe,
2252,l’antiquaire,the antiquarian,histoire passe,
2253,l’antique,the antique,histoire passe,
2254,l’aqueduc,the aqueduct,histoire passe,
2255,l’archéologue,the archaeologist,histoire passe,
2256,l’archéologie,the archeology,histoire passe,
2257,l’architecture,the architecture,histoire passe,
2258,l’artefact,the artifact,histoire passe,
2259,l’autobiographie,the autobiography,histoire passe,
2260,le barbare,the barbarous,histoire passe,
2261,la bible,the bible,histoire passe,
2262,la biographie,the biography,histoire passe,
2263,l’enterrement,the burial,histoire passe,
2264,le château,the castle,histoire passe,
2265,la catacombe,the catacomb,histoire passe,
2266,la cave,the cave,histoire passe,
2267,la céramique,the ceramic,histoire passe,
2268,le christianisme,the christianity,histoire passe,
2269,la collection,the collection,histoire passe,
2270,la colonisation,the colonization,histoire passe,
2271,la conférence,the conference,histoire passe,
2272,les descendants,the descendants,histoire passe,
2273,la description,the description,histoire passe,
2274,la destinée,the destiny,histoire passe,
2275,les dinosaures,the dinosaurs,histoire passe,
2276,le documentaire,the documentary,histoire passe,
2277,la dynastie,the dynasty,histoire passe,
2278,l’histoire précoce,the early history,histoire passe,
2279,l’égyptien,the egyptian,histoire passe,
2280,l’égyptologie,the egyptology,histoire passe,
2281,l’empire,the empire,histoire passe,
2282,l’épisode,the episode,histoire passe,
2283,l’ethnographie,the ethnography,histoire passe,
2284,l’ethnologie,the ethnology,histoire passe,
2285,l’étymologie,the etymology,histoire passe,
2286,l’événement,the event,histoire passe,
2287,l’évolution,the evolution,histoire passe,
2288,l’exode,the exodus,histoire passe,
2289,l’exposition,the exposure,histoire passe,
2290,le fait,the fact,histoire passe,
2291,le folklore,the folklore,histoire passe,
2292,la forteresse,the fortress,histoire passe,
2293,le fossile,the fossil,histoire passe,
2294,la liberté,the freedom,histoire passe,
2295,la généalogie,the genealogy,histoire passe,
2296,la genèse,the genesis,histoire passe,
2297,la géologie,the geology,histoire passe,
2298,le gladiateur,the gladiator,histoire passe,
2299,le patrimoine,the heritage,histoire passe,
2300,le héros,the hero,histoire passe,
2301,l’héroïne,the heroin,histoire passe,
2302,les hiéroglyphes,the hieroglyphes,histoire passe,
2303,l’historien,the historian,histoire passe,
2304,l’historique,the historical,histoire passe,
2305,l’histoire de l’art,the history of art,histoire passe,
2306,l’idéologie,the ideology,histoire passe,
2307,les indigènes,the indigenous,histoire passe,
2308,l’influence,the influence,histoire passe,
2309,le roi,the king,histoire passe,
2310,les royaumes,the kingdoms,histoire passe,
2311,le chevalier,the knight,histoire passe,
2312,la légende,the legend,histoire passe,
2313,le légendaire,the legendary,histoire passe,
2314,la linguistique,the linguistic,histoire passe,
2315,l’humanité,the mankind,histoire passe,
2316,le manuscrit,the manuscript,histoire passe,
2317,le masque,the mask,histoire passe,
2318,le mégalithe,the megalith,histoire passe,
2319,le mésolithique,the mesolithic,histoire passe,
2320,la monarchie,the monarchy,histoire passe,
2321,le monument,the monument,histoire passe,
2322,la mosaïque,the mosaic,histoire passe,
2323,la momie,the mummy,histoire passe,
2324,le musée,the museum,histoire passe,
2325,le mythe,the myth,histoire passe,
2326,le mythologique,the mythological,histoire passe,
2327,la nation,the nation,histoire passe,
2328,la nécropole,the necropolis,histoire passe,
2329,le néolithique,the neolithic,histoire passe,
2330,l’odyssée,the odyssey,histoire passe,
2331,le paléolithique,the paleolithic,histoire passe,
2332,la paléontologie,the paleontology,histoire passe,
2333,le panthéon,the pantheon,histoire passe,
2334,les gens,the people,histoire passe,
2335,les persans,the persians,histoire passe,
2336,le pharaon,the pharaoh,histoire passe,
2337,le philosophe,the philosopher,histoire passe,
2338,la philosophie,the philosophy,histoire passe,
2339,les photographies,the photographs,histoire passe,
2340,la pièce,the piece,histoire passe,
2341,le pionnier,the pioneer,histoire passe,
2342,le poème,the poem,histoire passe,
2343,la population,the population,histoire passe,
2344,la préhistorique,the prehistoric,histoire passe,
2345,la préhistoire,the prehistory,histoire passe,
2346,le prince,the prince,histoire passe,
2347,la princesse,the princess,histoire passe,
2348,la prospection,the prospecting,histoire passe,
2349,les pyramides,the pyramids,histoire passe,
2350,la reine,the queen,histoire passe,
2351,le lecteur,the reader,histoire passe,
2352,le reflet,the reflection,histoire passe,
2353,le règne,the reign,histoire passe,
2354,la relation,the relationship,histoire passe,
2355,la religion,the religion,histoire passe,
2356,la renaissance,the renaissance,histoire passe,
2357,la représentation,the representation,histoire passe,
2358,la république,the republic,histoire passe,
2359,l’empire romain,the roman empire,histoire passe,
2360,les romains,the romans,histoire passe,
2361,la pierre de rosette,the rosetta stone,histoire passe,
2362,les ruines,the ruins,histoire passe,
2363,la saga,the saga,histoire passe,
2364,le sarcophage,the sarcophagus,histoire passe,
2365,le chercheur,the searcher,histoire passe,
2366,le règlement,the settlement,histoire passe,
2367,le site,the site,histoire passe,
2368,le spécialiste,the specialist,histoire passe,
2369,l’histoire,the story,histoire passe,
2370,les temples,the temples,histoire passe,
2371,le territoire,the territory,histoire passe,
2372,la théologie,the theology,histoire passe,
2373,la trace,the trace,histoire passe,
2374,le vestige,the vestige,histoire passe,
2375,les vikings,the vikings,histoire passe,
2376,le volcan,the volcano,histoire passe,
2377,la roue,the wheel,histoire passe,
2378,l’écrivain,the writer,histoire passe,
2379,développer,to develop,histoire passe,
2380,découvrir,to discover,histoire passe,
2381,se documenter,to document,histoire passe,
2382,restaurer,to restore,histoire passe,
2383,improbable,unlikely,histoire passe,
2384,faire du sport,doing sport,hobbies et loisirs,
2385,faire du tricot,knitting,hobbies et loisirs,
2386,faire du vélo,biking,hobbies et loisirs,
2387,l’équitation,horse riding,hobbies et loisirs,
2388,la broderie,embroidery,hobbies et loisirs,
2389,la couture,dressmaking,hobbies et loisirs,
2390,la luge,sledge,hobbies et loisirs,
2391,la pêche,fishing,hobbies et loisirs,
2392,la philatélie,stamp collecting,hobbies et loisirs,
2393,la poésie,poetry,hobbies et loisirs,
2394,la poterie,pottery,hobbies et loisirs,
2395,la randonnée,hiking,hobbies et loisirs,
2396,la sculpture,sculpture,hobbies et loisirs,
2397,le dessin,drawing,hobbies et loisirs,
2398,le scrapbooking,scrapbooking,hobbies et loisirs,
2399,les échecs,chess,hobbies et loisirs,
2400,un appareil photo,a camera,hobbies et loisirs,
2401,un casino,a casino,hobbies et loisirs,
2402,un concert,a concert,hobbies et loisirs,
2403,un jeu de plateau,a board game,hobbies et loisirs,
2404,un magazine,a magazine,hobbies et loisirs,
2405,un passe-temps,a pastime,hobbies et loisirs,
2406,une chorale,a choir,hobbies et loisirs,
2407,une galerie d’art,an art gallery,hobbies et loisirs,
2408,une recette,a recipe,hobbies et loisirs,
2409,aller à la salle de gym,to go to the gym,hobbies et loisirs,
2410,aller au bowling,to go bowling,hobbies et loisirs,
2411,aller au théâtre,to go to the theatre,hobbies et loisirs,
2412,avoir le temps de …,to have the time to …,hobbies et loisirs,
2413,chasser,to hunt,hobbies et loisirs,
2414,créer un site web,to create a website,hobbies et loisirs,
2415,distraire,to entertain,hobbies et loisirs,
2416,écouter de la musique,to listen to music,hobbies et loisirs,
2417,faire de la plongée,to do scuba diving,hobbies et loisirs,
2418,faire de la voile,to sail,hobbies et loisirs,
2419,faire des promenades,to go for walks,hobbies et loisirs,
2420,faire du bénévolat,to do voluntary work,hobbies et loisirs,
2421,faire du bricolage,to do diy,hobbies et loisirs,
2422,faire du camping,to go camping,hobbies et loisirs,
2423,faire du trek,to go trekking,hobbies et loisirs,
2424,jouer à des jeux vidéo,to play videogames,hobbies et loisirs,
2425,jouer au football,to play football,hobbies et loisirs,
2426,jouer au tennis,to play tennis,hobbies et loisirs,
2427,jouer de la guitare,to play the guitar,hobbies et loisirs,
2428,parier,to bet,hobbies et loisirs,
2429,participer à,to take part in,hobbies et loisirs,
2430,regarder des films,to watch films,hobbies et loisirs,
2431,regarder la télévision,to watch television,hobbies et loisirs,
2432,se faire plaisir,to enjoy onseself,hobbies et loisirs,
2433,socialiser,to socialise,hobbies et loisirs,
2434,voyager,to travel,hobbies et loisirs,
2435,des enceintes,speakers,musique,
2436,des musiciens,musicians,musique,
2437,fort/ bruyant,loud,musique,
2438,la gamme,a scale,musique,
2439,la scène,the stage,musique,
2440,la voix,the voice,musique,
2441,le pupitre,the music stand,musique,
2442,le rythme,the rhythm,musique,
2443,le solfège,music theory,musique,
2444,les paroles,the lyrics,musique,
2445,les percussions,percussion,musique,
2446,un amplificateur,an amplifier,musique,
2447,un archet,a bow,musique,
2448,un bâton,a conductor’s baton,musique,
2449,un batteur,a drummer,musique,
2450,un casque audio,headphones,musique,
2451,un cd,a cd,musique,
2452,un disque,a record,musique,
2453,un label discographique,a record label,musique,
2454,un lecteur cd,a cd player,musique,
2455,un lecteur mp3,an mp3 player,musique,
2456,un métronome,a metronome,musique,
2457,un micro,a microphone,musique,
2458,un morceau,a track,musique,
2459,un opéra,an opera,musique,
2460,un orchestre,an orchestra,musique,
2461,un quatuor à cordes,a string quartet,musique,
2462,un solo,a solo,musique,
2463,un spectacle,a show,musique,
2464,un tourne-disque,a record player,musique,
2465,une chaîne hi-fi,a hi-fi system,musique,
2466,une chaîne stéréo,sound system/ stereo,musique,
2467,une chanson,a song,musique,
